ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU
LencaSalvador-1_agua-1,,LencaSalvador,1_agua,wal,wal,w a l,,Constenla2005,1,,^ w a l $,LencaSalvador,a
LencaHonduras-1_agua-1,,LencaHonduras,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,LencaHonduras,a
Cacaopera-1_agua-1,,Cacaopera,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Cacaopera,b
Mayangna-1_agua-1,,Mayangna,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Mayangna,a
Ulwa-1_agua-1,,Ulwa,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Ulwa,a
Miskito-1_agua-1,,Miskito,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Miskito,b
Pech-1_agua-1,,Pech,1_agua,àsò,àsò,à/a s ò/o,,Constenla2005,3,,^ à s ò $,Pech,
Rama-1_agua-1,,Rama,1_agua,si:,si:,s iː,,Constenla2005,4,,^ s i: $,Rama,c
MalekuJaika-1_agua-1,,MalekuJaika,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,MalekuJaika,c
Boruca-1_agua-1,,Boruca,1_agua,díʔ,díʔ,d í/i ʔ,,Constenla2005,4,,^ d í ʔ $,Boruca,c
Bribri-1_agua-1,,Bribri,1_agua,dǐʔ,dǐʔ,d ǐ/i ʔ,,Constenla2005,4,,^ d ǐ ʔ $,Bribri,c
Cabecar-1_agua-1,,Cabecar,1_agua,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,,Constenla2005,4,,^ d í k ɺ ʊ́ $,Cabecar,c
Teribe-1_agua-1,,Teribe,1_agua,dí,dí,d í/i,,Constenla2005,4,,^ d í $,Teribe,c
Ngabere-1_agua-1,,Ngabere,1_agua,ɲɤ,ɲɤ,ɲ ɤ,,Constenla2005,4,,^ ɲ ɤ $,Ngabere,c
Buglere-1_agua-1,,Buglere,1_agua,tʃi,tʃi,tʃ i,,Constenla2005,4,,^ tʃ i $,Buglere,c
Dorasque-1_agua-1,,Dorasque,1_agua,yi,yi,j i,,Constenla2005,4,,^ y i $,Dorasque,c
SanBlasKuna-1_agua-1,,SanBlasKuna,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,SanBlasKuna,c
Cogui-1_agua-1,,Cogui,1_agua,ni,ni,n i,,Constenla2005,4,,^ n i $,Cogui,c
Arhuaco-1_agua-1,,Arhuaco,1_agua,dʒe,dʒe,dʒ e,,Constenla2005,4,,^ dʒ e $,Arhuaco,c
Malayo-1_agua-1,,Malayo,1_agua,'dʒiɾa,'dʒiɾa,'d/d ʒ i ɾ a,,Constenla2005,4,,^ 'd ʒ i ɾ a $,Malayo,c
Chimila-1_agua-1,,Chimila,1_agua,ditake:,ditake:,d i t a k eː,,Constenla2005,4,,^ d i t a k e: $,Chimila,c
Chibcha-1_agua-1,,Chibcha,1_agua,sie,sie,s i e,,Constenla2005,4,,^ s i e $,Chibcha,c
CentralTunebo-1_agua-1,,CentralTunebo,1_agua,'riʔa,'riʔa,'r/r i ʔ a,,Constenla2005,4,,^ 'r i ʔ a $,CentralTunebo,c
Bari-1_agua-1,,Bari,1_agua,sĩ: mã,sĩ: mã,s ĩː + m ã,,Constenla2005,4,,^ s ĩ: + m ã $,Bari,c
LencaSalvador-2_amarillo-1,,LencaSalvador,2_amarillo,ku,ku,k u,,Constenla2005,5,,^ k u $,LencaSalvador,
LencaHonduras-2_amarillo-1,,LencaHonduras,2_amarillo,suninga,suninga,s u n i n g a,,Constenla2005,6,,^ s u n i n g a $,LencaHonduras,
Cacaopera-2_amarillo-1,,Cacaopera,2_amarillo,maju,maju,m a j u,,Constenla2005,7,,^ m a j u $,Cacaopera,
Mayangna-2_amarillo-1,,Mayangna,2_amarillo,lalahni,lalahni,l a l a h n i,,Constenla2005,8,,^ l a l a h n i $,Mayangna,a
Ulwa-2_amarillo-1,,Ulwa,2_amarillo,lalahka,lalahka,l a l a h k a,,Constenla2005,8,,^ l a l a h k a $,Ulwa,a
Miskito-2_amarillo-1,,Miskito,2_amarillo,lalalhni,lalalhni,l a l a l h n i,,Constenla2005,8,,^ l a l a l h n i $,Miskito,a
Pech-2_amarillo-1,,Pech,2_amarillo,sè: wa,sè: wa,s èː/eː + w a,,Constenla2005,9,,^ s è: + w a $,Pech,
Rama-2_amarillo-1,,Rama,2_amarillo,nuknukŋa,nuknukŋa,n u k n u k ŋ a,,Constenla2005,10,,^ n u k n u k ŋ a $,Rama,
MalekuJaika-2_amarillo-1,,MalekuJaika,2_amarillo,ɬaxa:ɾa ɬutu iŋa,ɬaxa:ɾa ɬutu iŋa,ɬ a x aː ɾ a + ɬ u t u + i ŋ a,,Constenla2005,11,,^ ɬ a x a: ɾ a + ɬ u t u + i ŋ a $,MalekuJaika,
Boruca-2_amarillo-1,,Boruca,2_amarillo,ʃòsát,ʃòsát,ʃ ò/o s á/a t,,Constenla2005,12,,^ ʃ ò s á t $,Boruca,
Bribri-2_amarillo-1,,Bribri,2_amarillo,tsikidǐdǐ,tsikidǐdǐ,ts i k i d ǐ/i d ǐ/i,,Constenla2005,13,,^ ts i k i d ǐ d ǐ $,Bribri,b
Cabecar-2_amarillo-1,,Cabecar,2_amarillo,tsikidí,tsikidí,t s i k i d í/i,,Constenla2005,13,,^ t s i k i d í $,Cabecar,b
Teribe-2_amarillo-1,,Teribe,2_amarillo,ʃòinóɾ,ʃòinóɾ,ʃ ò/o i n ó/o ɾ,,Constenla2005,14,,^ ʃ ò i n ó ɾ $,Teribe,
Ngabere-2_amarillo-1,,Ngabere,2_amarillo,sɯbɾɯɾe,sɯbɾɯɾe,s ɯ b ɾ ɯ ɾ e,,Constenla2005,15,,^ s ɯ b ɾ ɯ ɾ e $,Ngabere,
Buglere-2_amarillo-1,,Buglere,2_amarillo,moloi,moloi,m o l o i,,Constenla2005,16,,^ m o l o i $,Buglere,
Dorasque-2_amarillo-1,,Dorasque,2_amarillo,utká,utká,u t k á/a,,Constenla2005,17,,^ u t k á $,Dorasque,
SanBlasKuna-2_amarillo-1,,SanBlasKuna,2_amarillo,kollokwa,kollokwa,k o ʎ o kʷ a,,Constenla2005,18,,^ k o ll o kw a $,SanBlasKuna,
Cogui-2_amarillo-1,,Cogui,2_amarillo,kaʃiku'ama,kaʃiku'ama,k a ʃ i k u 'a/a m a,,Constenla2005,19,,^ k a ʃ i k u 'a m a $,Cogui,c
Arhuaco-2_amarillo-1,,Arhuaco,2_amarillo,'tʃəmmi,'tʃəmmi,'tʃ/tʃ ə m i,,Constenla2005,20,,^ 'tʃ ə mm i $,Arhuaco,ch
Malayo-2_amarillo-1,,Malayo,2_amarillo,kɨʃkwama,kɨʃkwama,k ɨ ʃ kʷ a m a,,Constenla2005,19,,^ k ɨ ʃ kw a m a $,Malayo,c
Chimila-2_amarillo-1,,Chimila,2_amarillo,tʃoŋgɾagwattu,tʃoŋgɾagwattu,tʃ o ŋ g ɾ a g w a t u,,Constenla2005,21,,^ tʃ o ŋ g ɾ a g w a tt u $,Chimila,
Chibcha-2_amarillo-1,,Chibcha,2_amarillo,tɨβan,tɨβan,t ɨ β a n,,Constenla2005,20,,^ t ɨ β a n $,Chibcha,ch
CentralTunebo-2_amarillo-1,,CentralTunebo,2_amarillo,ta'waja,ta'waja,t 'a/a w a j a,,Constenla2005,20,,^ t a' w a j a $,CentralTunebo,ch
Bari-2_amarillo-1,,Bari,2_amarillo,kanikã: siũkdu,kanikã: siũkdu,k a n i k ãː + s i ũ k d u,,Constenla2005,22,,^ k a n i k ã: + s i ũ k d u $,Bari,
LencaSalvador-3_amarrar-1,,LencaSalvador,3_amarrar,waɾ,waɾ,w a ɾ,,Constenla2005,23,,^ w a ɾ $,LencaSalvador,a
LencaHonduras-3_amarrar-1,,LencaHonduras,3_amarrar,kup,kup,k u p,,Constenla2005,24,,^ k u p $,LencaHonduras,
Cacaopera-3_amarrar-1,,Cacaopera,3_amarrar,wiri,wiri,w i r i,,Constenla2005,23,,^ w i r i $,Cacaopera,a
Mayangna-3_amarrar-1,,Mayangna,3_amarrar,sit,sit,s i t,,Constenla2005,25,,^ s i t $,Mayangna,b
Ulwa-3_amarrar-1,,Ulwa,3_amarrar,sit,sit,s i t,,Constenla2005,25,,^ s i t $,Ulwa,b
Miskito-3_amarrar-1,,Miskito,3_amarrar,wilk,wilk,w i l k,,Constenla2005,23,,^ w i l k $,Miskito,a
Pech-3_amarrar-1,,Pech,3_amarrar,tìk,tìk,t ì/i k,,Constenla2005,26,,^ t ì k $,Pech,
Rama-3_amarrar-1,,Rama,3_amarrar,aŋais,aŋais,a ŋ a i s,,Constenla2005,27,,^ a ŋ a i s $,Rama,
MalekuJaika-3_amarrar-1,,MalekuJaika,3_amarrar,kera:,kera:,k e r aː,,Constenla2005,28,,^ k e r a: $,MalekuJaika,c
Boruca-3_amarrar-1,,Boruca,3_amarrar,íŋ,íŋ,í/i ŋ,,Constenla2005,29,,^ í ŋ $,Boruca,
Bribri-3_amarrar-1,,Bribri,3_amarrar,bõ,bõ,b õ,,Constenla2005,30,,^ b õ $,Bribri,ch
Cabecar-3_amarrar-1,,Cabecar,3_amarrar,bõ,bõ,b õ,,Constenla2005,30,,^ b õ $,Cabecar,ch
Teribe-3_amarrar-1,,Teribe,3_amarrar,ɸɺík,ɸɺík,ɸ ɺ í/i k,,Constenla2005,31,,^ ɸ ɺ í k $,Teribe,
Ngabere-3_amarrar-1,,Ngabere,3_amarrar,mɔgete,mɔgete,m ɔ g e t e,,Constenla2005,32,,^ m ɔ g e t e $,Ngabere,
Buglere-3_amarrar-1,,Buglere,3_amarrar,kagã,kagã,k a g ã,,Constenla2005,33,,^ k a g ã $,Buglere,
Dorasque-3_amarrar-1,,Dorasque,3_amarrar,bui,bui,b u i,,Constenla2005,30,,^ b u i $,Dorasque,ch
SanBlasKuna-3_amarrar-1,,SanBlasKuna,3_amarrar,e-tinne,e-tinne,e + t i n e,,Constenla2005,34,,^ e - t i nn e $,SanBlasKuna,d
Cogui-3_amarrar-1,,Cogui,3_amarrar,aka-lihi,aka-lihi,a k a + l i h i,,Constenla2005,34,,^ a k a - l i h i $,Cogui,d
Arhuaco-3_amarrar-1,,Arhuaco,3_amarrar,'aʔdʒ,'aʔdʒ,'a/a ʔ dʒ,,Constenla2005,35,,^ 'a ʔ dʒ $,Arhuaco,
Malayo-3_amarrar-1,,Malayo,3_amarrar,ɾinʒii,ɾinʒii,ɾ i n ʒ i i,,Constenla2005,34,,^ ɾ i n ʒ i i $,Malayo,d
Chimila-3_amarrar-1,,Chimila,3_amarrar,sikke,sikke,s i k e,,Constenla2005,25,,^ s i kk e $,Chimila,b
Chibcha-3_amarrar-1,,Chibcha,3_amarrar,kamɨ,kamɨ,k a m ɨ,,Constenla2005,36,,^ k a m ɨ $,Chibcha,
CentralTunebo-3_amarrar-1,,CentralTunebo,3_amarrar,ke'ta,ke'ta,k e 't/t a,,Constenla2005,28,,^ k e 't a $,CentralTunebo,c
Bari-3_amarrar-1,,Bari,3_amarrar,ju,ju,j u,,Constenla2005,37,,^ j u $,Bari,
LencaSalvador-4_arbol-1,,LencaSalvador,4_arbol,suN,suN,s u n,,Constenla2005,38,,^ s u N $,LencaSalvador,
LencaHonduras-4_arbol-1,,LencaHonduras,4_arbol,ili,ili,i l i,,Constenla2005,39,,^ i l i $,LencaHonduras,
Cacaopera-4_arbol-1,,Cacaopera,4_arbol,man,man,m a n,,Constenla2005,40,,^ m a n $,Cacaopera,a
Mayangna-4_arbol-1,,Mayangna,4_arbol,pan,pan,p a n,,Constenla2005,40,,^ p a n $,Mayangna,a
Ulwa-4_arbol-1,,Ulwa,4_arbol,pan,pan,p a n,,Constenla2005,40,,^ p a n $,Ulwa,a
Miskito-4_arbol-1,,Miskito,4_arbol,dus,dus,d u s,,Constenla2005,41,,^ d u s $,Miskito,
Pech-4_arbol-1,,Pech,4_arbol,pã̀jh,pã̀jh,p ã̀/ã j h,,Constenla2005,40,,^ p ã̀ j h $,Pech,a
Rama-4_arbol-1,,Rama,4_arbol,ka:t,ka:t,k aː t,,Constenla2005,42,,^ k a: t $,Rama,b
MalekuJaika-4_arbol-1,,MalekuJaika,4_arbol,ko:ɾa,ko:ɾa,k oː ɾ a,,Constenla2005,42,,^ k o: ɾ a $,MalekuJaika,b
Boruca-4_arbol-1,,Boruca,4_arbol,kɾáŋ,kɾáŋ,k ɾ á/a ŋ,,Constenla2005,42,,^ k ɾ á ŋ $,Boruca,b
Bribri-4_arbol-1,,Bribri,4_arbol,káɺ,káɺ,k á/a ɺ,,Constenla2005,42,,^ k á ɺ $,Bribri,b
Cabecar-4_arbol-1,,Cabecar,4_arbol,kaɺ,kaɺ,k a ɺ,,Constenla2005,42,,^ k a ɺ $,Cabecar,b
Teribe-4_arbol-1,,Teribe,4_arbol,kʰɔ́,kʰɔ́,kʰ ɔ́/ɔ,,Constenla2005,42,,^ kʰ ɔ́ $,Teribe,b
Ngabere-4_arbol-1,,Ngabere,4_arbol,kɾi,kɾi,k ɾ i,,Constenla2005,42,,^ k ɾ i $,Ngabere,b
Buglere-4_arbol-1,,Buglere,4_arbol,gli,gli,g l i,,Constenla2005,42,,^ g l i $,Buglere,b
Dorasque-4_arbol-1,,Dorasque,4_arbol,kalkála,kalkála,k a l k á/a l a,,Constenla2005,42,,^ k a l k á l a $,Dorasque,b
SanBlasKuna-4_arbol-1,,SanBlasKuna,4_arbol,sappi,sappi,s a p i,,Constenla2005,43,,^ s a pp i $,SanBlasKuna,
Cogui-4_arbol-1,,Cogui,4_arbol,'kali,'kali,'k/k a l i,,Constenla2005,42,,^ 'k a l i $,Cogui,b
Arhuaco-4_arbol-1,,Arhuaco,4_arbol,kən,kən,k ə n,,Constenla2005,42,,^ k ə n $,Arhuaco,b
Malayo-4_arbol-1,,Malayo,4_arbol,kɨn,kɨn,k ɨ n,,Constenla2005,42,,^ k ɨ n $,Malayo,b
Chimila-4_arbol-1,,Chimila,4_arbol,ka:,ka:,k aː,,Constenla2005,42,,^ k a: $,Chimila,b
Chibcha-4_arbol-1,,Chibcha,4_arbol,kɨe,kɨe,k ɨ e,,Constenla2005,42,,^ k ɨ e $,Chibcha,b
CentralTunebo-4_arbol-1,,CentralTunebo,4_arbol,'kaɾukwa,'kaɾukwa,'k/k a ɾ u k w a,,Constenla2005,42,,^ 'k a ɾ u k w a $,CentralTunebo,b
Bari-4_arbol-1,,Bari,4_arbol,kã:,kã:,k ãː,,Constenla2005,42,,^ k ã: $,Bari,b
LencaSalvador-5_arena-1,,LencaSalvador,5_arena,miʃea,miʃea,m i ʃ e a,,Constenla2005,44,,^ m i ʃ e a $,LencaSalvador,
LencaHonduras-5_arena-1,,LencaHonduras,5_arena,toko,toko,t o k o,,Constenla2005,45,,^ t o k o $,LencaHonduras,
Cacaopera-5_arena-1,,Cacaopera,5_arena,kui,kui,k u i,,Constenla2005,46,,^ k u i $,Cacaopera,a
Mayangna-5_arena-1,,Mayangna,5_arena,kauhmak,kauhmak,k a u h m a k,,Constenla2005,46,,^ k a u h m a k $,Mayangna,a
Ulwa-5_arena-1,,Ulwa,5_arena,ka:uhmak,ka:uhmak,k aː u h m a k,,Constenla2005,46,,^ k a: u h m a k $,Ulwa,a
Miskito-5_arena-1,,Miskito,5_arena,ahuja,ahuja,a h u j a,,Constenla2005,47,,^ a h u j a $,Miskito,
Pech-5_arena-1,,Pech,5_arena,úʔù,úʔù,ú/u ʔ ù/u,,Constenla2005,48,,^ ú ʔ ù $,Pech,b
Rama-5_arena-1,,Rama,5_arena,unta:s,unta:s,u n t aː s,,Constenla2005,48,,^ u n t a: s $,Rama,b
MalekuJaika-5_arena-1,,MalekuJaika,5_arena,uɬi:xa,uɬi:xa,u ɬ iː x a,,Constenla2005,48,,^ u ɬ i: x a $,MalekuJaika,b
Boruca-5_arena-1,,Boruca,5_arena,ùb,ùb,ù/u b,,Constenla2005,48,,^ ù b $,Boruca,b
Bribri-5_arena-1,,Bribri,5_arena,stsã̌ʔ,stsã̌ʔ,s ts ã̌/ã ʔ,,Constenla2005,49,,^ s ts ã̌ ʔ $,Bribri,c
Cabecar-5_arena-1,,Cabecar,5_arena,tsã́,tsã́,t s ã́/ã,,Constenla2005,49,,^ t s ã́ $,Cabecar,c
Teribe-5_arena-1,,Teribe,5_arena,ɺa,ɺa,ɺ a,,Constenla2005,50,,^ ɺ a $,Teribe,
Ngabere-5_arena-1,,Ngabere,5_arena,ɯma,ɯma,ɯ m a,,Constenla2005,48,,^ ɯ m a $,Ngabere,b
Buglere-5_arena-1,,Buglere,5_arena,uba,uba,u b a,,Constenla2005,48,,^ u b a $,Buglere,b
Dorasque-5_arena-1,,Dorasque,5_arena,hálgu,hálgu,h á/a l g u,,Constenla2005,51,,^ h á l g u $,Dorasque,
SanBlasKuna-5_arena-1,,SanBlasKuna,5_arena,ukkuppa,ukkuppa,u k u p a,,Constenla2005,48,,^ u kk u pp a $,SanBlasKuna,b
Cogui-5_arena-1,,Cogui,5_arena,'ui,'ui,'u/u i,,Constenla2005,48,,^ 'u i $,Cogui,b
Arhuaco-5_arena-1,,Arhuaco,5_arena,'uzu,'uzu,'u/u z u,,Constenla2005,48,,^ 'u z u $,Arhuaco,b
Malayo-5_arena-1,,Malayo,5_arena,unʒu,unʒu,u n ʒ u,,Constenla2005,48,,^ u n ʒ u $,Malayo,b
Chimila-5_arena-1,,Chimila,5_arena,saʔssaɾi,saʔssaɾi,s a ʔ s a ɾ i,,Constenla2005,49,,^ s a ʔ ss a ɾ i $,Chimila,c
Chibcha-5_arena-1,,Chibcha,5_arena,ɣuantsa,ɣuantsa,ɣ u a n ts a,,Constenla2005,48,,^ ɣ u a n ts a $,Chibcha,b
CentralTunebo-5_arena-1,,CentralTunebo,5_arena,'umita,'umita,'u/u m i t a,,Constenla2005,48,,^ 'u m i t a $,CentralTunebo,b
Bari-5_arena-1,,Bari,5_arena,ũda,ũda,ũ d a,,Constenla2005,48,,^ ũ d a $,Bari,b
LencaSalvador-6_ave-1,,LencaSalvador,6_ave,ts'imts'im,ts'imts'im,ts 'i/i m ts 'i/i m,,Constenla2005,52,,^ ts 'i m ts 'i m $,LencaSalvador,a
LencaHonduras-6_ave-1,,LencaHonduras,6_ave,siɾa,siɾa,s i ɾ a,,Constenla2005,52,,^ s i ɾ a $,LencaHonduras,a
Cacaopera-6_ave-1,,Cacaopera,6_ave,wasiri,wasiri,w a s i r i,,Constenla2005,53,,^ w a s i r i $,Cacaopera,
Mayangna-6_ave-1,,Mayangna,6_ave,uhbin,uhbin,u h b i n,,Constenla2005,54,,^ u h b i n $,Mayangna,
Ulwa-6_ave-1,,Ulwa,6_ave,di: baka,di: baka,d iː + b a k a,,Constenla2005,55,,^ d i: + b a k a $,Ulwa,
Miskito-6_ave-1,,Miskito,6_ave,pjãwiɾa,pjãwiɾa,p j ã w i ɾ a,,Constenla2005,56,,^ p j ã w i ɾ a $,Miskito,
Pech-6_ave-1,,Pech,6_ave,kwàs,kwàs,kʷ à/a s,,Constenla2005,57,,^ kw à s $,Pech,
Rama-6_ave-1,,Rama,6_ave,sin-sak,sin-sak,s i n + s a k,,Constenla2005,52,,^ s i n - s a k $,Rama,a
MalekuJaika-6_ave-1,,MalekuJaika,6_ave,ŋiskaka:,ŋiskaka:,ŋ i s k a k aː,,Constenla2005,58,,^ ŋ i s k a k a: $,MalekuJaika,
Boruca-6_ave-1,,Boruca,6_ave,dù,dù,d ù/u,,Constenla2005,59,,^ d ù $,Boruca,b
Bribri-6_ave-1,,Bribri,6_ave,dú,dú,d ú/u,,Constenla2005,59,,^ d ú $,Bribri,b
Cabecar-6_ave-1,,Cabecar,6_ave,dù,dù,d ù/u,,Constenla2005,59,,^ d ù $,Cabecar,b
Teribe-6_ave-1,,Teribe,6_ave,sínũã̀,sínũã̀,s í/i n ũ ã̀/ã,,Constenla2005,60,,^ s í n ũ ã̀ $,Teribe,
Ngabere-6_ave-1,,Ngabere,6_ave,nukwɔ,nukwɔ,n u k w ɔ,,Constenla2005,59,,^ n u k w ɔ $,Ngabere,b
Buglere-6_ave-1,,Buglere,6_ave,bdada,bdada,b d a d a,,Constenla2005,61,,^ b d a d a $,Buglere,
Dorasque-6_ave-1,,Dorasque,6_ave,dul,dul,d u l,,Constenla2005,59,,^ d u l $,Dorasque,b
SanBlasKuna-6_ave-1,,SanBlasKuna,6_ave,sikkwi,sikkwi,s i k w i,,Constenla2005,62,,^ s i kk w i $,SanBlasKuna,
Cogui-6_ave-1,,Cogui,6_ave,nu'ba,nu'ba,n u 'b/b a,,Constenla2005,59,,^ n u 'b a $,Cogui,b
Arhuaco-6_ave-1,,Arhuaco,6_ave,si'sio,si'sio,s i 's/s i o,,Constenla2005,52,,^ s i 's i o $,Arhuaco,a
Malayo-6_ave-1,,Malayo,6_ave,suɾi,suɾi,s u ɾ i,,Constenla2005,63,,^ s u ɾ i $,Malayo,c
Chimila-6_ave-1,,Chimila,6_ave,ki:tikkwi,ki:tikkwi,k iː t i k w i,,Constenla2005,64,,^ k i: t i kk w i $,Chimila,
Chibcha-6_ave-1,,Chibcha,6_ave,sue,sue,s u e,,Constenla2005,59,,^ s u e $,Chibcha,b
CentralTunebo-6_ave-1,,CentralTunebo,6_ave,ɾu'wasiɾa,ɾu'wasiɾa,ɾ u 'w/w a s i ɾ a,,Constenla2005,59,,^ ɾ u 'w a s i ɾ a $,CentralTunebo,b
Bari-6_ave-1,,Bari,6_ave,daníkbi,daníkbi,d a n í/i k b i,,Constenla2005,65,,^ d a n í k b i $,Bari,
LencaSalvador-7_bailar-1,,LencaSalvador,7_bailar,uli,uli,u l i,,Constenla2005,66,,^ u l i $,LencaSalvador,a
LencaHonduras-7_bailar-1,,LencaHonduras,7_bailar,ul,ul,u l,,Constenla2005,66,,^ u l $,LencaHonduras,a
Cacaopera-7_bailar-1,,Cacaopera,7_bailar,jaukan,jaukan,j a u k a n,,Constenla2005,67,,^ j a u k a n $,Cacaopera,
Mayangna-7_bailar-1,,Mayangna,7_bailar,ubu,ubu,u b u,,Constenla2005,68,,^ u b u $,Mayangna,
Ulwa-7_bailar-1,,Ulwa,7_bailar,aba:,aba:,a b aː,,Constenla2005,69,,^ a b a: $,Ulwa,
Miskito-7_bailar-1,,Miskito,7_bailar,dans pul,dans pul,d a n s + p u l,,Constenla2005,70,,^ d a n s + p u l $,Miskito,
Pech-7_bailar-1,,Pech,7_bailar,wiʔ,wiʔ,w i ʔ,,Constenla2005,71,,^ w i ʔ $,Pech,b
Rama-7_bailar-1,,Rama,7_bailar,katapaik,katapaik,k a t a p a i k,,Constenla2005,72,,^ k a t a p a i k $,Rama,
MalekuJaika-7_bailar-1,,MalekuJaika,7_bailar,ɬi:la,ɬi:la,ɬ iː l a,,Constenla2005,73,,^ ɬ i: l a $,MalekuJaika,
Boruca-7_bailar-1,,Boruca,7_bailar,kuìk,kuìk,k u ì/i k,,Constenla2005,71,,^ k u ì k $,Boruca,b
Bribri-7_bailar-1,,Bribri,7_bailar,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,Constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Bribri,c
Cabecar-7_bailar-1,,Cabecar,7_bailar,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,Constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Cabecar,c
Teribe-7_bailar-1,,Teribe,7_bailar,tʰàŋnióŋ,tʰàŋnióŋ,tʰ à/a ŋ n i ó/o ŋ,,Constenla2005,75,,^ tʰ à ŋ n i ó ŋ $,Teribe,
Ngabere-7_bailar-1,,Ngabere,7_bailar,bradʒe,bradʒe,b r a dʒ e,,Constenla2005,76,,^ b r a dʒ e $,Ngabere,
Buglere-7_bailar-1,,Buglere,7_bailar,gwie,gwie,gʷ i e,,Constenla2005,71,,^ gw i e $,Buglere,b
Dorasque-7_bailar-1,,Dorasque,7_bailar,kúyi,kúyi,k ú/u j i,,Constenla2005,71,,^ k ú y i $,Dorasque,b
SanBlasKuna-7_bailar-1,,SanBlasKuna,7_bailar,kuile,kuile,k u i l e,,Constenla2005,71,,^ k u i l e $,SanBlasKuna,b
Cogui-7_bailar-1,,Cogui,7_bailar,kuiz,kuiz,k u i z,,Constenla2005,71,,^ k u i z $,Cogui,b
Arhuaco-7_bailar-1,,Arhuaco,7_bailar,kué,kué,k u é/e,,Constenla2005,71,,^ k u é $,Arhuaco,b
Malayo-7_bailar-1,,Malayo,7_bailar,ku'i,ku'i,k 'u/u i,,Constenla2005,71,,^ k u' i $,Malayo,b
Chimila-7_bailar-1,,Chimila,7_bailar,kuiahné,kuiahné,k u i a h n é/e,,Constenla2005,71,,^ k u i a h n é $,Chimila,b
Chibcha-7_bailar-1,,Chibcha,7_bailar,tsahana,tsahana,ts a h a n a,,Constenla2005,77,,^ ts a h a n a $,Chibcha,
CentralTunebo-7_bailar-1,,CentralTunebo,7_bailar,ki'ni,ki'ni,k i 'n/n i,,Constenla2005,78,,^ k i 'n i $,CentralTunebo,
Bari-7_bailar-1,,Bari,7_bailar,asi,asi,a s i,,Constenla2005,79,,^ a s i $,Bari,
LencaSalvador-8_beber-1,,LencaSalvador,8_beber,tali,tali,t a l i,,Constenla2005,80,,^ t a l i $,LencaSalvador,a
LencaHonduras-8_beber-1,,LencaHonduras,8_beber,tal,tal,t a l,,Constenla2005,80,,^ t a l $,LencaHonduras,a
Cacaopera-8_beber-1,,Cacaopera,8_beber,dipa,dipa,d i p a,,Constenla2005,81,,^ d i p a $,Cacaopera,b
Mayangna-8_beber-1,,Mayangna,8_beber,di,di,d i,,Constenla2005,81,,^ d i $,Mayangna,b
Ulwa-8_beber-1,,Ulwa,8_beber,di,di,d i,,Constenla2005,81,,^ d i $,Ulwa,b
Miskito-8_beber-1,,Miskito,8_beber,di,di,d i,,Constenla2005,81,,^ d i $,Miskito,b
Pech-8_beber-1,,Pech,8_beber,tòk,tòk,t ò/o k,,Constenla2005,82,,^ t ò k $,Pech,
Rama-8_beber-1,,Rama,8_beber,ŋw,ŋw,ŋ w,,Constenla2005,83,,^ ŋ w $,Rama,
MalekuJaika-8_beber-1,,MalekuJaika,8_beber,tʃa:,tʃa:,tʃ aː,,Constenla2005,84,,^ tʃ a: $,MalekuJaika,c
Boruca-8_beber-1,,Boruca,8_beber,dʒáŋ,dʒáŋ,dʒ á/a ŋ,,Constenla2005,84,,^ dʒ á ŋ $,Boruca,c
Bribri-8_beber-1,,Bribri,8_beber,dʒa,dʒa,dʒ a,,Constenla2005,84,,^ dʒ a $,Bribri,c
Cabecar-8_beber-1,,Cabecar,8_beber,dʒɪ,dʒɪ,dʒ ɪ,,Constenla2005,84,,^ dʒ ɪ $,Cabecar,c
Teribe-8_beber-1,,Teribe,8_beber,iɪ́,iɪ́,i ɪ́/ɪ,,Constenla2005,84,,^ i ɪ́ $,Teribe,c
Ngabere-8_beber-1,,Ngabere,8_beber,ɲã,ɲã,ɲ ã,,Constenla2005,84,,^ ɲ ã $,Ngabere,c
Buglere-8_beber-1,,Buglere,8_beber,hai,hai,h a i,,Constenla2005,85,,^ h a i $,Buglere,
Dorasque-8_beber-1,,Dorasque,8_beber,bot,bot,b o t,,Constenla2005,86,,^ b o t $,Dorasque,
SanBlasKuna-8_beber-1,,SanBlasKuna,8_beber,kope,kope,k o p e,,Constenla2005,87,,^ k o p e $,SanBlasKuna,
Cogui-8_beber-1,,Cogui,8_beber,'tuʃi,'tuʃi,'t/t u ʃ i,,Constenla2005,88,,^ 't u ʃ i $,Cogui,
