ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Desano,Desano,desa1247,Desano,des,South America,0.58157,-69.4955,Tucanoan
Yupua,Yupua,jupu1235,Yupua,,South America,-0.5,-70.0,Tucanoan
Yahuna,Yahuna,yahu1241,Yahuna,ynu,South America,-0.505365,-70.478211,Tucanoan
Koretu,Koretu,cure1236,Kueretu,,South America,-1.045978,-70.305862,Tucanoan
