ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Achagua,Achagua,acha1250,Achagua,aca,South America,4.38649,-72.2005,Arawakan
Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan
Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,South America,0.16101,-71.0622,Arawakan
Piapoco,Piapoco,piap1246,Piapoco,pio,South America,4.37718,-68.5953,Arawakan
Resigaro,Resigaro,resi1247,Resígaro,rgr,South America,-1.169535,-71.60524,Arawakan
Tariana,Tariana,tari1256,Tariana,tae,South America,0.440205,-68.9042,Arawakan
Warekena,Warekena,ware1255,Warekena do San Miguel,,South America,2.904099,-67.092099,Arawakan
Yukuna,Yukuna,yucu1253,Yucuna,ycn,South America,-0.76075,-71.0033,Arawakan
