Family,Language,ID,Gloss Link,GLOSS,Orthographic Form,Phonemicized Form,Gloss as in Source,Etymology Code,Proto-Form,Proto-Language,Loan Source,Wanderwort Status,Etyma Set,Etymology Notes,General Notes,Source
Araucanian,Mapudungun,265,/lexical/feature/454,louse,"piollo, piojo",piolho,fauna,,,t̯ɨn̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/581,man/male,hombre,homem,human,,,wenṭ͡ʀu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/457,meat/flesh,carne,carne,fauna,,,ilo,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/458,moon,luna,lua,environment,,,kɨyen̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/460,mother,"madre, mamá",mãe,kinship,,,ɲuke,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/461,mouth,boca,boca,body,,,wɨn̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/462,name,nombre,nome,human,,,ɨy,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/464,near/close,cerca de,perto,quality,,,pɨlʸe,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/463,nape,"base del cuello, nuca",nuca,body,,,t̯opel̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/465,neck,cuello,pescoço,body,,,pel̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/466,new,nuevo,novo,quality,,,we,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/467,night,noche,noite,time,,,pun̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/468,no/not,no,não,grammar,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/469,nose,nariz,nariz,body,,,yu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/470,old,viejo,velho,quality,,,fɨča; kuse,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/471,one,uno,um,number,,,kiɲe,,,,,,,
