ID_forms	Local_ID	Language_ID	Parameter_ID	Value	Form	Segments	Comment	Source	Cognacy	Loan	Graphemes	Profile	ID_languages	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	ID	Name_parameters	Concepticon_ID	Concepticon_Gloss	ID_cognates	Form_ID	Form_cognates	Cognateset_ID	Doubt	Cognate_Detection_Method	Source_cognates	Alignment	Alignment_Method	Alignment_Source
Prototucanoan-14-break-1		Prototucanoan	14-break	*pʔope	pʔ.o.p.e	pˀ o p e		Chacon2014			^ pʔ . o . p . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	14-break	break	680.0	BREAK (DESTROY OR GET DESTROYED)	Prototucanoan-14-break-1-1	Prototucanoan-14-break-1	pʔ.o.p.e	14-break-71	False	expert	Chacon2014	pˀ o p e	expert	Chacon2014
Prototucanoan-132-urucumachiote-1		Prototucanoan	132-urucumachiote	*pʔõsa	pʔ.õ.s.a	pˀ õ s a		Chacon2014			^ pʔ . õ . s . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	132-urucumachiote	urucum (achiote)			Prototucanoan-132-urucumachiote-1-1	Prototucanoan-132-urucumachiote-1	pʔ.õ.s.a	132-urucumachiote-72	False	expert	Chacon2014	pˀ õ s a	expert	Chacon2014
Prototucanoan-4-aracufish-1		Prototucanoan	4-aracufish	*pʔotʔika	pʔ.o.tʔ.i.k.a	pˀ o tˀ i k a		Chacon2014			^ pʔ . o . tʔ . i . k . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	4-aracufish	aracu fish			Prototucanoan-4-aracufish-1-1	Prototucanoan-4-aracufish-1	pʔ.o.tʔ.i.k.a	4-aracufish-73	False	expert	Chacon2014	pˀ o tˀ i k a	expert	Chacon2014
Prototucanoan-113-swell-1		Prototucanoan	113-swell	*pʔupi	pʔ.u.p.i	pˀ u p i		Chacon2014			^ pʔ . u . p . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	113-swell	swell	1573.0	SWELL	Prototucanoan-113-swell-1-1	Prototucanoan-113-swell-1	pʔ.u.p.i	113-swell-74	False	expert	Chacon2014	pˀ u p i	expert	Chacon2014
Prototucanoan-40-father-1		Prototucanoan	40-father	*pa-kɨ	p.a.k.ɨ	p a k ɨ		Chacon2014			^ p . a . k . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	40-father	father	1217.0	FATHER	Prototucanoan-40-father-1-1	Prototucanoan-40-father-1	p.a.k.ɨ	40-father-75	False	expert	Chacon2014	p a k ɨ	expert	Chacon2014
Prototucanoan-8-big-1		Prototucanoan	8-big	*pahi	p.a.h.i	p a h i		Chacon2014			^ p . a . h . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	8-big	big	1202.0	BIG	Prototucanoan-8-big-1-1	Prototucanoan-8-big-1	p.a.h.i	8-big-76	False	expert	Chacon2014	p a h i	expert	Chacon2014
Prototucanoan-5-armadillo-1		Prototucanoan	5-armadillo	*pãmu	p.ã.m.u	p ã m u		Chacon2014			^ p . ã . m . u $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	5-armadillo	armadillo	1885.0	ARMADILLO	Prototucanoan-5-armadillo-1-1	Prototucanoan-5-armadillo-1	p.ã.m.u	5-armadillo-77	False	expert	Chacon2014	p ã m u	expert	Chacon2014
Prototucanoan-46-float-1		Prototucanoan	46-float	*paʔja	p.a.ʔj.a	p a ˀj a		Chacon2014			^ p . a . ʔj . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	46-float	float	1574.0	FLOAT	Prototucanoan-46-float-1-1	Prototucanoan-46-float-1	p.a.ʔj.a	46-float-78	False	expert	Chacon2014	p a ˀj a	expert	Chacon2014
Prototucanoan-42-fire-1		Prototucanoan	42-fire	*peka	p.e.k.a	p e k a		Chacon2014			^ p . e . k . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	42-fire	fire	221.0	FIRE	Prototucanoan-42-fire-1-1	Prototucanoan-42-fire-1	p.e.k.a	42-fire-79	False	expert	Chacon2014	p e k a	expert	Chacon2014
Prototucanoan-37-end-1		Prototucanoan	37-end	*petʔi	p.e.tʔ.i	p e tˀ i		Chacon2014			^ p . e . tʔ . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	37-end	end	742.0	END (OF SPACE)	Prototucanoan-37-end-1-1	Prototucanoan-37-end-1	p.e.tʔ.i	37-end-80	False	expert	Chacon2014	p e tˀ i -	expert	Chacon2014
Prototucanoan-124-tocandiraant-1		Prototucanoan	124-tocandiraant	*piata	p.i.a.t.a	p i a t a		Chacon2014			^ p . i . a . t . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	124-tocandiraant	tocandira ant			Prototucanoan-124-tocandiraant-1-1	Prototucanoan-124-tocandiraant-1	p.i.a.t.a	124-tocandiraant-81	False	expert	Chacon2014	p i a t a	expert	Chacon2014
Prototucanoan-92-palmweevil-1		Prototucanoan	92-palmweevil	*pĩko	p.ĩ.k.o	p ĩ k o		Chacon2014			^ p . ĩ . k . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	92-palmweevil	palm-weevil			Prototucanoan-92-palmweevil-1-1	Prototucanoan-92-palmweevil-1	p.ĩ.k.o	92-palmweevil-82	False	expert	Chacon2014	p ĩ k o	expert	Chacon2014
Prototucanoan-56-handpalm-1		Prototucanoan	56-handpalm	*pɨtɨ	p.ɨ.t.ɨ	p ɨ t ɨ		Chacon2014			^ p . ɨ . t . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	56-handpalm	handpalm	1183.0	PALM OF HAND	Prototucanoan-56-handpalm-1-1	Prototucanoan-56-handpalm-1	p.ɨ.t.ɨ	56-handpalm-83	False	expert	Chacon2014	p ɨ t ɨ	expert	Chacon2014
