Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Chapakuran,Proto-Chapacuran,,giant armadillo,tatu gigante,*pikot
Chapakuran,Proto-Chapacuran,,bird species,cujubim,*pipon
Chapakuran,Proto-Chapacuran,,squirrel,"quoati-puru, esquilo",*piɾamˀ
Chapakuran,Proto-Chapacuran,,"to scratch, to itch",,*pitᶴak
Chapakuran,Proto-Chapacuran,,horn,,*pitᶴi:
Chapakuran,Proto-Chapacuran,,tarantula,aranha caranguejeira,*piwan
Chapakuran,Proto-Chapacuran,,to dance,,*piʔ
Chapakuran,Proto-Chapacuran,,"thigh, upper leg",,*pok
Chapakuran,Proto-Chapacuran,,to fart,,*pon
Chapakuran,Proto-Chapacuran,,to pull out,,*pot
Chapakuran,Proto-Chapacuran,,"to get, to tear, to extract",,*pot
Chapakuran,Proto-Chapacuran,,to cook; to spit,cozinhar; cuspir,*potᶴ
Chapakuran,Proto-Chapacuran,,"to wake up, to rouse",,*poʔ
Chapakuran,Proto-Chapacuran,,parakeet,,*pɾin
Chapakuran,Proto-Chapacuran,,"to kill, to hit a target with an arrow",,*pɾu:
Chapakuran,Proto-Chapacuran,,"to blow, to light a fire",,*pu:
Chapakuran,Proto-Chapacuran,,to miss the target with an arrow,,*puɾek
Chapakuran,Proto-Chapacuran,,to sit,,*pʷe:
Chapakuran,Proto-Chapacuran,,"stone, rock",,*pʷikun
Chapakuran,Proto-Chapacuran,,to leave behind,,*pʷin
Chapakuran,Proto-Chapacuran,,boa,,*pʷiɾan
Chapakuran,Proto-Chapacuran,,"to break, to cut, to extract, to unrip",,*pʷit
Chapakuran,Proto-Chapacuran,,large horsefly,,*pʷiti:
Chapakuran,Proto-Chapacuran,,palm species,palmeira-totai,*pʷitˢi:
Chapakuran,Proto-Chapacuran,,"porcupine, hedgehog",,*pʷitˢop
Chapakuran,Proto-Chapacuran,,flower,,*pʷiw
Chapakuran,Proto-Chapacuran,,banana (generic),,*ɾi:(tan)
Chapakuran,Proto-Chapacuran,,charcoal,,*tajin
Chapakuran,Proto-Chapacuran,,"wax",,*takat
Chapakuran,Proto-Chapacuran,,kind of fish,peixe-cará,*takawˀ
Chapakuran,Proto-Chapacuran,,"to fly, to leave flying",,*takiʔ
Chapakuran,Proto-Chapacuran,,"leaf, one",,*tan
Chapakuran,Proto-Chapacuran,,monkey species,macaco-saguim,*tapan
Chapakuran,Proto-Chapacuran,,agouti,,*tapiw
Chapakuran,Proto-Chapacuran,,"straw, cover/roofing of house",,*tapot
Chapakuran,Proto-Chapacuran,,father (1SG.POSS),,*tata:
Chapakuran,Proto-Chapacuran,,rope made of tree fibers; horn,envira (esp.); chifre,*tataw
Chapakuran,Proto-Chapacuran,,"to laugh, to smile",,*tatˢam
Chapakuran,Proto-Chapacuran,,husband,,*tatᶴiʔ
Chapakuran,Proto-Chapacuran,,"lazy, sulky, disobedient",,*tawan
Chapakuran,Proto-Chapacuran,,"bee (generic), honey",,*tawi:
Chapakuran,Proto-Chapacuran,,"fence, surrounded",,*tawit
Chapakuran,Proto-Chapacuran,,to cut,,*taʔ
Chapakuran,Proto-Chapacuran,,to finish,,*tikat
Chapakuran,Proto-Chapacuran,,heart,,*tim
Chapakuran,Proto-Chapacuran,,arm,,*tipan
Chapakuran,Proto-Chapacuran,,wing,,*tipat
Chapakuran,Proto-Chapacuran,,to follow a trail,,*tipoʔ
Chapakuran,Proto-Chapacuran,,to lie down,,*titimˀ/*tiɾimˀ
Chapakuran,Proto-Chapacuran,,to drink,,*tok
Chapakuran,Proto-Chapacuran,,"eye, grain, seed, stone",,*tok
Chapakuran,Proto-Chapacuran,,"chestnut, Brazil nut",,*toke:
Chapakuran,Proto-Chapacuran,,"to burn, black",,*tom
Chapakuran,Proto-Chapacuran,,"to say, to speak",,*tomiʔ
Chapakuran,Proto-Chapacuran,,to knock down fruits by beating the tree,,*ton
Chapakuran,Proto-Chapacuran,,"to explode, to break corn",,*top
Chapakuran,Proto-Chapacuran,,"mouth, lips, to speak",,*topak
Chapakuran,Proto-Chapacuran,,"skin, peel, bark",,*topan
Chapakuran,Proto-Chapacuran,,basket (generic),,*topop
Chapakuran,Proto-Chapacuran,,"to swell, to ferment, to cause swelling",,*toɾo:
Chapakuran,Proto-Chapacuran,,clay,,*totᶴam
Chapakuran,Proto-Chapacuran,,"bee species, honey",abelha-lambeolho; seu mel,*totᶴik
Chapakuran,Proto-Chapacuran,,"turtle, tortoise; rubber cylinder (?)","tartaruga, tracaja, jabuti; tambor de caucho",*towa:
Chapakuran,Proto-Chapacuran,,kind of fruit,fruta-murisi,*towan
Chapakuran,Proto-Chapacuran,,"white, bright color, daybreak/dawn",,*towaʔ
Chapakuran,Proto-Chapacuran,,parrot species,papagaio-curica,*towin
Chapakuran,Proto-Chapacuran,,"to beat, to open, to crack, to cut",,*toʔ
Chapakuran,Proto-Chapacuran,,"bamboo, taboca (bamboo species)",bambu; taboca,*tɾakom
Chapakuran,Proto-Chapacuran,,fermented drink,,*tɾakop
Chapakuran,Proto-Chapacuran,,man,,*tɾamaʔ
Chapakuran,Proto-Chapacuran,,red macaw,,*tɾamʷin
Chapakuran,Proto-Chapacuran,,guan bird,jacu,*tɾan tɾan
Chapakuran,Proto-Chapacuran,,white hair,,*tɾapo:
Chapakuran,Proto-Chapacuran,,"liver; palm species, fish species",fígado; palmeira-patua; patua; surubim,*tɾawan
Chapakuran,Proto-Chapacuran,,"coal, ember",,*tɾik
Chapakuran,Proto-Chapacuran,,aricuri palm leaf,,*tɾot
Chapakuran,Proto-Chapacuran,,to suck on a fruit,,*tᶴak
Chapakuran,Proto-Chapacuran,,day,,*tᶴek
Chapakuran,Proto-Chapacuran,,net,,*tᶴijat
Chapakuran,Proto-Chapacuran,,one,,*tᶴik
Chapakuran,Proto-Chapacuran,,"nail, claw; traíra (fish species)","unha, garra; traíra (peixe)",*tᶴikinˀ
Chapakuran,Proto-Chapacuran,,to throw,,*tᶴin
Chapakuran,Proto-Chapacuran,,"country, to plant",,*tᶴitot
Chapakuran,Proto-Chapacuran,,(to be) cold,,*tᶴiw
Chapakuran,Proto-Chapacuran,,"to suck ""noisily"", to make a ""sucking"" sound",,*tᶴok
Chapakuran,Proto-Chapacuran,,to step; to insist,"pisar, bater o pé",*tᶴom
Chapakuran,Proto-Chapacuran,,to spit,,*tᶴopin
