No.,FORM,Gloss,Scientific name
152,*cʼǔkʼ,coçar 1,
153,*cĩ̂tʼoʔ,coçar 2,
154,*ʔowopʼ,colocar,
155,*wɯ̌h,comer 1,
156,*wêtʼ,comer 2,
157,*toʔox,correr,
158,*têco,cortar 1,
159,*hõkʼ,cortar 2,
160,*kw̌t,cortar 3,
161,*cuh,costurar,
162,*cʽɯ̂w,cozinhar,
163,*cap,crescer 1,
164,*câkʼo,"crescer 2, subir",
165,*hikej,cuidar,
166,*cʼǒc,cuspir,
167,*tukʼ,cutucar,
168,*jãb,"dabucuri, dançar",
169,*dõ̂ʔ,dar,
170,*jǎʔi,defecar,
171,*kʼãʔo,deitar 1,
172,*jati,deitar 2,
173,*pʼɤh,derramar,
174,*tˀẽʔ,derreter,
175,*cĩboʔ,descascar,
176,*kʼõpʼ,descascar 1,
177,*côc,descascar 2,
178,*dãho,dizer,
179,*ʔãho,dormir,
180,*cʼɤʔ,embrulhar,
181,*tûj,empurrar,
182,*wɯtʼ,encontrar,
183,*cĩkoʔ,enfiar,
184,*kʼã̰̂kʼ,engasgar,
185,*dôj,engatinhar,
186,*jedo,esconder,
187,*cʼatʼup,escorregar,
188,*hɯʔ,escrever,
189,*hĩkwukʼ,esfregar 1,
190,*cʼǔkʼ,esfregar 2,
191,*cʼatʼaʔi,esperar 1,
192,*juʔ,esperar 2,
193,*juh,espremer mandioca,
194,*kʼaʔwôʔ,espremer mandioca,
195,*kʼêtoʔ,estar em pé,
196,*ci̇̂tʼo,fazer cócegas,
197,*ʔãd,fazer sexo,
198,*tʼok,feder,
199,*tuh,ficar,
200,*tʼuc,flatulência,
201,*kʼig,flechar,
202,*hã̂jo,focar,
203,*ʔahũtʼuʔ,fumar,
204,*puhuh,inchar,
205,*hã̂b,ir,
206,*tʼẽ̂piʔ,lamber,
207,*cʼîtʼo,lavar,
208,*cɤkʼ,lavrar,
209,*jaʔwaʔ,mastigar,
210,*tɯ̌x,mentir,
211,*hop,mergulhar,
212,*kʼɤc,morder,
213,*wɤʔ,ouvir 1,
214,*pã̌h,"ouvir 2, saber",
215,*cʼẽ̂ʔ,pedir 1,
216,*ʔih,pedir 2,
217,*tʼakʼo,pendurar 1,
218,*kʼãʔ,pendurar 2,
219,*tokʼ,pilar,
220,*jũ̌b,plantar,
221,*cʼɤkʼ,pular,
222,*kɤkʼ,puxar,
223,*hõ̌h,queimar,
224,*tukʼ,querer,
225,*pob,rachar,
226,*hɯ̃p,ralar,
227,*cẽ̂tʼ,rasgar 1,
228,*cẽ̌wiʔ,rasgar 2,
229,*xapi,raspar 1,
230,*kew,raspar 2,
231,*hɤʔ,remar 1,
232,*xẽjẽʔ,remar 2,
233,*hãkʼi,respirar,
234,*kʼâw,roçar 1,
235,*pʼot,roçar 2,
236,*xũ̂kʼ,roncar,
237,*cʼêkʼo,roubar,
238,*kʼâbo,saudade,
239,*xop,secar 1,
240,*wôj,secar 2,
241,*tod,segurar,
242,*pẽ̂b,sentar,
243,*pʼɤkʼ,soluçar,
244,*xǔʔ,soprar 1,
245,*woh,soprar 2,
246,*pahũ̌t,soprar 3,
247,*cow,soprar com,
248,*cop,subir (beira-rio),
249,*pêh,subir rio,
250,*ʔõwõp,tecar,
251,*ʔã̂bo,temer,
252,*dãho,ter 1,
253,*dĩ̂h,ter 2,
254,*cɯd,ter gordura,
255,*tedo,tinguijar,
256,*tʼǒʔ,tirar,
257,*kẽ̂d,torrar 1,
258,*cõj,torrar 2,
259,*ciʔ,urinar 1,
260,*kʼǎco,urinar 2,
261,*xâpiʔ,varrer,
262,*dẽtʼ,vir,
263,*jěho,voltar 1,
264,*pʼaji,voltar 2,
265,*xã̂dõ,vomitar,
266,*wǒh,etnia tukano,
267,*tʼɤw,gente 1,
268,*jixup,gente 2,
269,*kʼɯ̃̌cʼɯʔ,herói mítico,
270,*ji̇̂ʔo,homem 1,
271,*bãɾaxut,homem 2,
272,*tã̂hi,menino,
273,*cǎw,moça 1,
274,*bãɾûcʼ,moça 2,
275,*ʔã̂jo,mulher,
276,*xâto,nome,
277,*cɤ̃w,pajé,
278,*padxǎwo,rapaz,
279,*wahɤ̃h,velha,
280,*wahɤd,velho,
281,*kʼawi,amídala,
282,*wẽbẽʔ,barba,
283,*toʔ,barriga 1,
284,*wokʼ,barriga 2,
285,*dõh≠cug,bigode,
286,*dõ̌h,boca,
287,*wôh,bochecha,
288,*bõ̌h,braço,
289,*dũ̌h,cabeça,
290,*pãt,cabelo,
291,*tʼapi,carne,
292,*xupcap,corpo,
293,*ti̇̌c,costas 1,
294,*joʔ,costas 2,
295,*hoxoʔ,costela 1,
296,*kaɾapaʔ,costela 2,
297,*cug,cotovelo,
298,*tɤgɤʔ,dente,
299,*jâʔi,fezes,
300,*hǒh,fígado,
301,*pʼoj,genitália,
302,*jaʔipĩ̌d,intestino,
303,*wõtʼẽh,joelho 1,
304,*kaɾotʼdũ̌h,joelho 2,
305,*dõhkʼâtʼi,língua,
306,*dẽʔbõh,mão,
307,*xup,mão direita,
