index,FORM,Gloss
292,*kʰari-,"to cut (e.g. meat), skin"
294,*kʰarma,male
298,*katu-,"to catch, hunt"
299,*kawki,where
300,*kawna,egg
304,*kayu,foot
305,*kiči-,"to pinch, peel with fingernails"
308,*kiki,"same, self"
309,*kili-,"to yank out a plant by the stem, stalk"
311,*kiʎi,kestrel
312,*kimi-,to have sex
313,*kimsa,three
314,*kinču,"sash, apron"
316,*kintu,"ritual offering of coca leaves, offering, small bundle"
318,*kiptʂa,liver
320,*kʰirkinču,armadillo species
323,*kʰita-,to send
325,*kʰuču-,"to cut, slice (e.g. with knife or scissors)"
326,*kutʂi,"flea, louse"
327,*kuka,coca
328,*kuʎaka,"older sister, older woman"
329,*kuʎku,narrow
330,*kuʎu ~ *kʰuʎu,"tree trunk, wood"
334,*kunka,"neck, voice, throat"
335,*kunturi,condor
337,*kupi,right side
342,*kururu,navel
343,*kuši-,"happy, to be happy"
345,*kušu(ru),"wavy, algae"
348,*kuti,"time, occasion"
349,*kutʂu-,"to cut, chop (e.g. with ax or saw), amputate"
350,*kʰuwa,"that, there"
352,*kuyi,guinea pig
354,*kʰuyu-,to whistle
355,*lampa,head
356,*lampa,"shovel, hoe, flat"
357,*la(n)kʰa-,"to trip, stumble"
358,*la(n)qa,"dirt, soil, dust"
359,*la(n)qʰa-,"to carry, shovel mud"
360,*lapa,louse
361,*laqu,worm
362,*laqra,tongue
363,*lari,"male in-laws, wifes relative"
364,*larqa,"canal, irrigation ditch"
365,*laru-,to laugh
366,*lawa,"wood, stick, firewood"
367,*liki,"fat, grease"
368,*liwa-,"to serve food, hand out goods"
369,*luqa-,"to raise, insert hand or arm"
370,*luqʰi ~ *luqi,"stupid, crazy, deaf"
371,*luqru,"type of stew, soup"
372,*ʎa,"greeting, interjection"
373,*ʎača,"wet, watery"
374,*ʎaki-,"sadness, to be sad"
376,*ʎama-,"to harvest, harvest potatoes, pick"
377,*ʎamkʰa-,"to touch, handle, feel"
378,*ʎampu,"soft, smooth"
379,*ʎamqi-,"to crush, smash"
390,*ʎiʎi-,"burn, sore, to scald"
392,*ʎiqwi,"phlegm, mucus, bodily fluid"
393,*ʎučka-,"slippery, to slip, slide"
394,*ʎutʂu-,"to take off, strip, skin, slip off, remove"
395,*ʎukʰu- ~ *ñukʰu-,"beard, muzzle, net for carrying things, to pull hair, beard"
398,*ʎumpi-,"to abound, overflow, be many"
399,*ʎuqʎa,"flood, avalanche, mudslide"
403,*mača-,"fallow, dry season, to irrigate"
404,*mačaqa,new
405,*matʂa-,"drunk, liquor, to be drunk"
410,*maʎi-,"to taste, try"
415,*manqa-,to eat
416,*manqʰa,"below, inside, interior"
421,*maqʰura,testicle
423,*marka,"town, village, region, nation"
424,*markʰu,plant species
425,*marqa-,to carry in the arms
432,*maya-,to go
433,*maya,one
434,*mayi-,"to ask for, request, borrow"
435,*mayruru,kidney
438,*mitʂa,stingy
441,*miʎku-,"to twist, screw"
445,*minka-,"type of labor recruitment, to contract labor"
447,*mira-,"to reproduce, multiply"
450,*tinki-,"to fall, slip, tumble"
453,*mutʂu-,"punishment, to suffer"
454,*muhu,seed
455,*mukʰi-,to smell
456,*muʎi,tree species
457,*muna-,"to want, desire, love"
458,*muqsa,sweet
459,*muqu,"knob, joint, bump"
462,*muru,"blunted, cropped, worn out"
465,*musa- ~ *musu-,"to divine, sense, realize, perceive"
466,*muši-,"to watch over, guard"
468,*muti,boiled corn kernels
470,*muyu-,"round, to turn around, spin, rotate, circle"
471,*naka,sticky
472,*nakʰa- ~ *naka-,to burn (intrans.)
474,*nasa,nose
475,*naya,I
476,*nayra,eye
478,*nikʰa,"before, a moment ago"
479,*nina,fire
485,*ñiqi,mud
486,*ñiqi-,"to grind, press, stuff"
487,*ñukatʂa ~ *ñakutʂa,hair
488,*ñuñu-,"breast, udder, to nurse"
491,*patʂa,"world, time, era, circumstance, sky"
492,*patʂa,same
493,*patʂaka,hundred
494,*pʰatʂu,"thick, densely planted crops"
496,*paki-,"to break, smash"
497,*pʰala- ~ *pʰari-,"to twist fibers into thread or string"
499,*paʎqa-,"forked, pitchfork"
500,*pampa-,"flat place, plain, open land, to bury, cover with earth, flatten earth"
503,*panta-,"to err, confuse, be wrong"
505,*paqaʎi- ~ *paqaʎa-,"all night, to stay up all night"
506,*paqča,"waterfall, stream of water"
508,*pʰaqi,"breast, breast pocket"
509,*paqši,moon
510,*para,forehead
511,*parana,grinding stone
512,*parpa-,"ground corn, marrow, type of mud, to tamp down"
513,*paru,"toasted, golden-brown color, corn variety"
514,*pʰasa-,"untie, unstitch, loosen"
517,*pata,"terrace, platform, flat place"
518,*pʰawi-,"to wind, spin thread"
520,*paya,two
521,*pʰaya-,to cook
523,*piča-,"to sweep, clean"
524,*pičqa,five
525,*pʰitʂu-,"to knead, mix, stir"
528,*piʎu,"flower garland, crown, adornment"
529,*pinkuʎu,flute type
530,*pinqa- ~ *pʰinqa-,"shame, to be ashamed"
532,*pirqa,wall
533,*pirwa,"granary, storage container"
534,*pʰiʎuru,whorl (part of spinning wheel)
535,*piši,a little
537,*pita-,to weave
538,*pʰitu,pin
539,*piya-,"hole, opening, to cut an opening, clear a path"
541,*pučqu-,"fermented, to ferment"
543,*pʰutʂa,daughter
546,*pukru,"hole, hollow, concave"
548,*pukyu,"spring, well"
549,*pʰuʎu,"fabric type, womans garment"
550,*pʰuʎu-,"to bubble, gurgle, spurt, overflow"
551,*puma,puma
553,*punki-,"swollen, to swell"
554,*punku,"door, entrance"
557,*pʰuqa,"full, ripe"
558,*puqu-,"to ripen, mature"
559,*puri-,"to come, arrive, return"
560,*pʰurka-,"to grill, roast"
561,*pʰuru,"jug, basin"
562,*pʰusa-,"to blow, inflate"
564,*pusu- ~ *pʰusu(ʎu)-,"blister, swollen, to scald"
566,*puši,four
568,*qatʂa,"new (clothing or goods)"
569,*qatʂa,"sinner, immoral person"
570,*qaspa-,"to singe, scrape surface"
571,*qala,stone
572,*qaʎa-,to begin
575,*qʰana-,"light, to appear, illuminate, emit light"
577,*qañu,"dirty, murky"
578,*qʰapa-,"lid, to cover"
579,*qʰapaqa,"powerful, rich"
