Gloss,FORM
fungus species,*ko(n)o
pus,*ko
value,*kopi
"ashes, greyish",*koɽo
cedar,*(k)oʂna
causative verbal suffix,*-m(a)-
hill,*maʔtʃi
fish species,*maʔi(r)
cold,*matsi
to sweep,*matso-
animal horn,*mãtʃa(n)
"earth, land",*mai
"on earth, on the ground",*mai(n)
to bury,"*mai(n)-, *maiwa-"
"headband, hat",*maiti
rat,*maka
rat,*ʂoya
"stone, rock",*maka
piranha (fish species),*makɨ
to wish,*mara-
"over, about",*ma(n)a(n)
metal,*ma(n)ɨ
banana,*ma(n)i
to long,*(ma)(n)o(t)-
to climb (a hill),*mapɨ-
shrimp,*mapi
head,*mapo
"clay, dust",*mapok
plant species,*maɽaʂ
agouti (rodent species),*maɽi
calabash species,*masɨ(n)
sand,*masi
stone,*maʂaʂ
urucum (the tree and its fruit),*maʂɨ
"on top, peak",*maʂka(t)
to cut hair,*maʂkoɽ-
animal horn,*mãʂo
to hit the head,*matas
to die,*mawa-
ant species,*mawis
"to twist, to spin, to move in circles",*maya-
"to touch, to touch with the hand, to feel",*mɨʔ(ɨ)-
"to wet, wet",*mɨʔtʃa-
"hand, arm",*mɨβi
fingernail,*mɨ̃tsis
"claw, nail",*hõtsis
hand,*mɨkɨr
right hand,*mɨkɨrɨ kʷaya
"to find, to look for",*mɨɽa-
to crawl,*mɨʂo
finger,*mɨtoti
"slough, muddy area",*mɨwɨ
2SG,*mi
2PL,*mato
pamonha (traditional corn pastry),*mɨsi
"hook, fishhook",*miʃkiti
"poison, bitter",*moka
thorn,*moʂa
nest,*naʔa
sloth species,*naʔir
sky,*naiɽ
mosquito species,*(n)akʷa
termite,*nakʷaʂɨ
to dream,*(n)ama-
"below, under, underneath",*nama
meat,*rami
genipap (kind of fruit),*(n)a(n)ɨ
"to put inside, to submerge",*nan(ɨ)-
"inside, in the middle",*(n)apo
"to bathe, to take a bath",*(n)as(i)-
"wide, broad",*(n)aʂβa
to bite,*(n)atɨʂ-
foreigner,*(n)awa
rainbow,*(n)awa βaʔi
"cut vegetation, abandoned land",*(n)awɨ
trumpeter bird,*(n)ɨa
"to unite, to put together",*(n)ɨʔa-
to tie,*(n)ɨʂa-
bird species,*(n)ɨʂ(n)ɨʂ
day,*rɨtɨ
to stand,*niÇ
"forest, woods",*(n)iʔi
breeze,*(n)iβiÇ
"centipede, scorpion",*(n)iβo
"to listen, to hear",*(n)ĩka
"to drag, to pull",*(n)i(n)-
to sweat,*(n)iska(n)-
palm species,*(n)isi
to be bored,*(n)iʃ-
wind,*(n)iwɨ
1PL,*no(-)
deep,*(n)oa-
snail species,*(n)oʔtʃo
worm,*noʔir
snail species,*(n)oβo
"tasty, delicious",*(n)o(ɨ)
to swim,*(n)on(a)-
to swim,*nono-
duck,*rorom
canoe,*(n)õti
to fly,*(n)o(ya)-
"to come, to arrive",*ho-
flower,*hoa
"language, voice, word",*hoi
to breathe,*hoin
heart,*hoi(n)ti
to hide,*hon(ɨ)-
"man, human",*honi
wild hog species,*ho(n)o
red,*hoʃin
white,*hoʂo
to wash,*paʔtsa-
"to get drunk, drunk",*paʔɨn-
deaf,*paβɨ
ear,*paβĩki
"bamboo species (Guadua weberbaueri or taboca)",*paka
to fall,*pakɨt-
armadillo species,*paɨ(n)o
"ear adornment, earring",*pa(ʔ)o(t)
father,*papa
to deceive,*paɽa(n)-
river,*paɽo
ear (body part prefix),*pa-
yellow,*pãʃin
