Family,Language,Glottocode,Gloss,Phonemicized Form 
Chibchan,Proto-Chibchan,,nose,*dəˈIkI
Chibchan,Proto-Chibchan,,now,*ˈBə
Chibchan,Proto-Chibchan,,old,"*AˈkÍkI, *tAˈlá"
Chibchan,Proto-Chibchan,,one,*ˈé
Chibchan,Proto-Chibchan,,otter,*doʔ
Chibchan,Proto-Chibchan,,paca (Agouti paca),*ˈkuri
Chibchan,Proto-Chibchan,,"peachpalm (Bactris gasipaes or Guilelma utilis)",*ˈsúbaʔ
Chibchan,Proto-Chibchan,,peccary (Tayassu pecari spiradens),*siˈdĩ́ʔ
Chibchan,Proto-Chibchan,,"peel, undress",*ˈsu-
Chibchan,Proto-Chibchan,,person,*ApÍ-
Chibchan,Proto-Chibchan,,"place, time, environment, land",*ˈká
Chibchan,Proto-Chibchan,,plant,*ˈdi
Chibchan,Proto-Chibchan,,"poró tree, elequeme tree (synonyms)",*baˈlò
Chibchan,Proto-Chibchan,,"pot, vessel, jar",*ˈũ
Chibchan,Proto-Chibchan,,"pumpkin, squash",*Apì
Chibchan,Proto-Chibchan,,"rattle, maraca, colander, gourd cup (= object elaborated from a gourd)",*ˈtã́
Chibchan,Proto-Chibchan,,reed,*kəˈru
Chibchan,Proto-Chibchan,,rotten,*ˈdṹ
Chibchan,Proto-Chibchan,,sand,"*ˈu, *ˈuBA"
Chibchan,Proto-Chibchan,,say,"*ˈguA-, *ˈgI"
Chibchan,Proto-Chibchan,,sea,*dAgÌ
Chibchan,Proto-Chibchan,,second person prefix,*bi-
Chibchan,Proto-Chibchan,,see,*ˈguəkI
Chibchan,Proto-Chibchan,,seek,*ˈdí
Chibchan,Proto-Chibchan,,"seed, plant",*ˈpkua
Chibchan,Proto-Chibchan,,"seize, hold",*kaLUh-
Chibchan,Proto-Chibchan,,seven,*ˈkúh-
Chibchan,Proto-Chibchan,,shark,*tAˈLì
Chibchan,Proto-Chibchan,,shrimp,*ˈkUs
Chibchan,Proto-Chibchan,,sing,*ˈtA
Chibchan,Proto-Chibchan,,six,*ˈted
Chibchan,Proto-Chibchan,,"skin, bark",*hukə́
Chibchan,Proto-Chibchan,,sleep,*kAp-
Chibchan,Proto-Chibchan,,small,*ˈ¢id
