Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Arawakan,Proto-Arawakan,,plural,plural,*-nawɨ	
Arawakan,Proto-Arawakan,,plural,plural,*-be
Arawakan,Proto-Arawakan,,past,passado,*-ini
Arawakan,Proto-Arawakan,,one,um,*aba
Arawakan,Proto-Arawakan,,two,dois,*pʊhinama
Arawakan,Proto-Arawakan,,animal,animal,*pɨra
Arawakan,Proto-Arawakan,,,tatu,*iwetɨ
Arawakan,Proto-Arawakan,,,paca,*laba
Arawakan,Proto-Arawakan,,,cutia,*pɨkʊɨrɨ;*pikɨli
Arawakan,Proto-Arawakan,,,rato,*kihili
Arawakan,Proto-Arawakan,,,anta,*kema
Arawakan,Proto-Arawakan,,,quati,*kapiti;*kapedi
Arawakan,Proto-Arawakan,,,macaco-prego,*pʊadɨ
Arawakan,Proto-Arawakan,,bird,ave,*kʊdɨbɨra;*kʊdipira
Arawakan,Proto-Arawakan,,duck,pato,*hʊbai
Arawakan,Proto-Arawakan,,,jacu,*maradɨ
Arawakan,Proto-Arawakan,,,cujubim,*kʊlʊi
Arawakan,Proto-Arawakan,,,beija-flor,*pimɨtɨ
Arawakan,Proto-Arawakan,,,jabuti,*hikʊri;*hikʊli
Arawakan,Proto-Arawakan,,fish,peixe,*kʊpakɨ
Arawakan,Proto-Arawakan,,,tocandira,*mainahɨ
Arawakan,Proto-Arawakan,,,cupim,*kamatha	
Arawakan,Proto-Arawakan,,bee,abelha,*maba
Arawakan,Proto-Arawakan,,mitch,mosquito,*hainɨjʊ
Arawakan,Proto-Arawakan,,louse,piolho,*ini
Arawakan,Proto-Arawakan,,tree,árvore,*ada
Arawakan,Proto-Arawakan,,,urucu,*hapɨ-kɨri	
Arawakan,Proto-Arawakan,,manioc,mandioca,*kaini
Arawakan,Proto-Arawakan,,sweet potato,batata-doce,*kalithi	
Arawakan,Proto-Arawakan,,arrow,flecha,*tʊkʊ
