index,FORM,Gloss
335,*kuntur,‘condor’
336,*kunya-,"‘to crackle (fire), echo’"
338,*kurku,"‘hunchback, hunch’"
339,*kurpa,"‘clod, clump of earth’"
340,*kuru,‘worm’
341,*kurur,"‘ball of yarn, clew’"
343,*kuši-,"‘happy, to be happy’"
344,*kušma,"‘garment, tunic (e.g. worn by Amazonians)’"
346,*kuta-,‘to grind’
347,*kuti-,‘to return’
348,*kuti,"‘time, occasion’"
349,*kutu-,"‘shortened, cropped, to cut, chop (e.g. with ax or saw), amputate’"
351,*kuya-,‘to love’
353,*kuyu-,‘to move’
374,*ʎaki-,"‘sadness, to be sad’"
375,*ʎama,‘llama’
377,*ʎamka-,"‘to touch, handle, feel’"
378,*ʎampu,"‘soft, smooth’"
380,*ʎanqi,‘type of sandal’
381,*ʎantu-,"‘shade, shadow, to cast a shadow’"
382,*ʎañu ~ *ñañu,‘thin (cylindrical objects)’
383,*ʎapča- ~ *ʎapša-,"‘thin, flat, to touch, squeeze, crush’"
384,*ʎapi-,"‘to squeeze, crush, smoosh’"
385,*ʎaqʎa-,‘to carve wood’
386,*ʎaqwa-,‘to lick’
387,*ʎasa ~ *ʎaša,‘heavy’
388,*ʎika,"‘net, spider web’"
389,*ʎikʎa,‘type of shawl’
390,*ʎiʎi-,"‘burn, sore, to scald’"
391,*ʎipta,‘ash used for chewing coca’
393,*ʎučka-,"‘slippery, to slip, slide’"
394,*ʎuču-,"‘to take off, strip, skin, slip off, remove’"
396,*ʎuʎa-,"‘lie, to lie, deceive’"
397,*ʎuʎu,"‘unripe, newborn, tender’"
399,*ʎuqʎa,"‘flood, avalanche, mudslide’"
400,*ʎušpi-,"‘to slip, to leak out, to lick a plate or pot clean’"
401,*ʎušti-,"‘to peel, strip, denude’"
402,*ʎuta-,‘to smear with mud’
405,*matʂa-,‘to be drunk’
406,*matʂay,‘cave’
407,*matʂka,‘toasted grain flour’
408,*maki,"‘hand, forearm’"
409,*maʎa-,‘to fast’
410,*maʎi-,"‘to taste, try’"
411,*maʎki-,"‘seedling, tree, to plant, transplant’"
412,*mana,"‘no, not’"
413,*manča-,"‘to scare, be afraid’"
414,*manka,‘pot’
417,*manta-,‘to spread out fabric’
418,*manya,"‘side, edge, border, margin’"
419,*maña-,"‘to ask for, request’"
420,*maqa-,"‘to hit, punch, beat’"
422,*maray,‘grinding stone’
423,*marka,"‘town, village, region’"
424,*marku,‘plant species’
425,*marqa-,‘to carry in the arms’
426,*masa-,‘to spread out in the sun’
427,*maša,"‘brother-in-law, son-in-law’"
428,*masi,"‘fellow, companion’"
429,*mati,"‘gourd, vessel made from gourd’"
430,*mawka-,"‘used up, worn out, to wear out’"
431,*may,‘where’
436,*mayu,‘river’
437,*miči-,‘to pasture’
438,*mitʂa,‘stingy’
439,*miku-,‘to eat’
440,*miʎa-,"‘to be disgusted, nauseous’"
442,*miʎpu-,‘to swallow’
443,*miʎwa,‘wool’
444,*mini-,"‘weft, to weave’"
445,*minka-,"‘type of labor recruitment, to contract labor’"
446,*miqʎa- ~ *miʎqa-,"‘skirt, lap, apron, to hold in skirt, lap, apron’"
447,*mira-,"‘to reproduce, multiply’"
448,*mirkapa,"‘snack, provisions’"
449,*miški,‘sweet’
450,*mitka-,"‘to trip, fall down, tumble’"
451,*muča-,‘to kiss’
452,*mutʂka,‘mortar’
456,*muʎi,‘tree species’
457,*muna-,"‘to want, desire, love’"
459,*muqu,"‘knob, joint, bump’"
460,*muru,"‘spotted, stained, multicolored’"
461,*muru,"‘seed, pit’"
463,*muruču,‘corn variety’
464,*muspa-,"‘to daydream, be delirious, rave’"
465,*musya-,"‘to divine, sense, realize, perceive’"
467,*mušuq,‘new’
468,*muti,‘boiled corn kernels’
469,*mutki- ~ *muski-,"‘to smell, perceive odor’"
470,*muyu-,"‘to turn around, spin, rotate, circle’"
473,*nana-,"‘to hurt, ache’"
477,*ni-,"‘to say, tell’"
479,*nina,‘fire’
480,*niti- ~ *ñiti-,"‘to smash, crush’"
481,*ñaka-,"‘with difficulty, to suffer, experience difficulty’"
482,*ñaqča-,"‘comb, to comb’"
483,*ñati(n),"‘liver, internal organ’"
484,*ñawi,‘eye’
488,*ñuñu-,"‘breast, udder, to nurse’"
489,*ñuqa,‘I’
490,*ñuqančik,‘we (inclusive)’
491,*pača,"‘world, time, era, circumstance’"
493,*patʂak,‘hundred’
495,*paka-,‘to hide’
496,*paki-,"‘to break, smash’"
498,*paʎa-,"‘to harvest, pick’"
499,*paʎqa-,"‘forked, pitchfork, to bifurcate, split’"
500,*pampa-,"‘flat place, plain, open land; to bury, cover with earth, flatten earth’"
501,*pani,‘sister of man’
502,*panqa,‘corn husk’
503,*panta-,"‘to err, confuse, be wrong’"
504,*papa,‘potato’
506,*paqča,"‘waterfall, stream of water’"
507,*paqtʂa,‘forehead’
515,*paska-,"‘to untie, unstitch, loosen’"
516,*pašña,"‘girl, young woman’"
517,*pata,"‘terrace, platform, flat place’"
519,*pay,"‘he, she’"
522,*pi,‘who’
523,*piča-,"‘to sweep, clean’"
524,*pičqa,‘five’
526,*piki,"‘flea, chigger’"
527,*piʎpintu,"‘butterfly, moth’"
528,*piʎu-,"‘crown, adornment, to braid, tangle’"
529,*pinkuʎu,‘flute type’
530,*pinqa-,"‘shame, to be ashamed’"
531,*piña-,"‘angry, to anger’"
532,*pirqa,‘wall’
534,*piruru,‘whorl (part of spinning wheel)’
535,*piši-,"‘little, to diminish, be little, tire out’"
536,*pišqu,"‘bird, bird species’"
540,*pučka-,"‘spindle, to spin thread’"
541,*pučqu-,"‘fermented, sour, to ferment, become sour’"
542,*puču-,"‘leftover, to be left over, exceed’"
544,*puka,"‘red, colored’"
545,*pukʎa-,‘to play’
546,*pukru,"‘hole, hollow, concave’"
547,*pukuču,‘bladder’
548,*pukyu,"‘spring, well’"
549,*puʎu,"‘shawl, blanket’"
551,*puma,‘puma’
552,*puna,‘high grasslands’
553,*punki-,"‘swollen, to swell’"
554,*punku,"‘door, entrance’"
555,*puñu-,‘to sleep’
556,*pupu,‘navel’
558,*puqu-,"‘to ripen, mature’"
559,*puri-,"‘to travel, walk, roam’"
561,*puru,"‘gourd, vessel made from gourd’"
563,*pusaq,‘eight’
565,*puša-,"‘to accompany, guide, bring along, escort’"
567,*puyñu,"‘pitcher, jug’"
570,*qatʂpa- ~ *qašpa-,"‘to singe, scrape surface’"
572,*qaʎa(ri)-,‘to begin’
573,*qaʎu,‘tongue’
574,*qam,‘you’
576,*qantʂis,‘seven’
580,*qapa(ri)-,"‘to shout, yell’"
581,*qapi-,"‘to squeeze out, wring, milk’"
583,*qaqa,"‘rock, cliff, crag’"
584,*qaqu-,"‘to rub, scrub’"
585,*qara-,‘to serve food’
586,*qara- ~ *qaʎa-,"‘naked, bare, to peel, strip’"
588,*qarqu-,"‘to expel, throw out (person), drive out’"
589,*qarwa-,"‘yellow, orange, to turn yellow, to ripen (e.g. wheat), to wither’"
590,*qasa-,"‘ice, frost, to freeze, be freezing’"
592,*qasqu,‘chest’
593,*qata-,"‘roof, cover, to cover or shelter’"
594,*qati-,"‘to herd, drive (animals), follow’"
596,*qawa-,‘to look’
600,*qaya-,"‘to yell, call out, call together’"
602,*qayna ~ *qanyan,"‘yesterday, previous, past’"
603,*qitʂa,‘diarrhea’
604,*qitʂu-,"‘to take away, remove’"
605,*qiʎa,‘lazy’
607,*qiʎqa-,"‘to write, draw’"
608,*qimi-,"‘to support, prop up, hold up’"
609,*qintʂa,"‘corral, fenced enclosure’"
611,*qinti-,"‘to shrink, contract’"
613,*qipa,"‘behind (space), after (time)’"
614,*qipi-,"‘bundle carried on back, to carry on back’"
617,*qiru,"‘wood, trunk, wooden cup’"
618,*qisa,‘nest’
620,*qišpi-,"‘to be safe, be saved, escape, be born’"
621,*qišpi,"‘crystal, glass’"
622,*qiwa,"‘fodder, pasture grass’"
623,*qiwi-,"‘to twist apart, sprain’"
624,*qu-,‘to give’
625,*qutʂa,‘lake’
626,*qutʂpa-,"‘to roll around, to roll’"
627,*quʎi-,‘to cover embers to maintain fire’
629,*quʎu-,"‘to die off, extinguish, run out’"
632,*qunču,"‘sediment, grounds’"
634,*qunqa-,‘to forget’
635,*qunqur,‘knee’
636,*quñu- ~ *quñi-,"‘hot, to heat’"
639,*quri,‘gold’
641,*quru,"‘blunted, cropped’"
643,*quruta,‘testicle’
644,*qusa,‘husband’
645,*qutu-,"‘mound, group, bunch, tumor, to gather, pile up’"
646,*quyʎur,‘a particular star’
648,*raka,‘vagina’
649,*raki-,"‘to separate, sort, select, hand out’"
650,*rakta,‘thick’
651,*ranti-,"‘to exchange, substitute, replace’"
652,*rapra,"‘wing, leaf’"
653,*raqra-,"‘crack, ditch, trench, to crack, split’"
654,*rata-,"‘to land, fall, stick in a place’"
655,*rawra-,‘to burn (intrans.)’
656,*ri-,‘to go’
657,*rika- ~ *riku-,‘to see’
658,*riktʂa-,‘to wake up’
659,*rikra,"‘upper arm, wing’"
660,*rima-,‘to speak’
661,*rinri,‘ear’
662,*riqsi-,"‘to know, be acquainted with’"
663,*rumi,‘stone’
664,*runa,"‘person, human’"
665,*runku,"‘bag, sack’"
666,*runtu,"‘egg, hailstone’"
667,*rupa-,"‘hot, heat, to burn, shine, be hot’"
668,*rura-,"‘to do, make, work’"
669,*ruru,"‘round thing, pit, egg, testicle, kidney’"
670,*rutu-,"‘to shear, cut hair’"
671,*(r)uyru,‘round’
673,*satʂa,"‘bush, tree, forest’"
675,*saksa-,"‘to swell, be full of food’"
676,*saʎqa,"‘high grasslands, person from the high grasslands, uncultured person’ (n.b. offensive)"
677,*sama-,"‘to breathe, rest’"
679,*sapa,"‘alone, each’"
680,*sapi,‘root’
681,*saqi-,"‘to leave behind, abandon’"
682,*saqma-,"‘to hit, punch’"
683,*sara,‘corn’
684,*saru-,‘to step on’
685,*sasa,‘difficult’
686,*sati-,‘to insert’
687,*sawna,"‘pillow, head support’"
692,*siki,"‘butt, base’"
694,*sintʂi-,"‘strong, brave, to gain strength’"
695,*sinqa,‘nose’
696,*sipi-,"‘to snap neck, yank, slaughter’"
697,*sipu- ~ *šipu-,"‘wrinkle, to wrinkle, furrow, pleat’"
698,*siqa-,"‘to climb, rise, ascend’"
699,*sira-,‘to sew’
701,*sisa-,"‘flower, to blossom’"
702,*sutʂka-,"‘to slide, slip’"
703,*sutʂu-,"‘to slide, slip’"
705,*supay,"‘evil spirit, demon’"
706,*supi-,"‘fart, to fart’"
707,*suqta,‘six’
709,*surqu-,"‘to remove, take out, extract’"
710,*susu(nka)-,‘to become numb’
711,*suwa-,"‘thief, to steal’"
712,*šamu-,‘to come’
715,*šawa-,"‘to tie together, get married’"
716,*šaya-,"‘to stand, stop, be upright’"
717,*šikwa-,‘to broadcast seeds’
718,*šiʎu,"‘nail, claw’"
719,*šimi,"‘mouth, language’"
720,*šimpa-,"‘braid, to braid’"
721,*šinka-,"‘drunk, tipsy, to get drunk’"
722,*šipaš ~ *šipas ~ *sipaš,‘girl’
725,*šiqši-,"‘itch, to itch’"
726,*šuka-,‘to whistle’
727,*šuʎa-,"‘dew, to form dew’"
728,*šuʎka,"‘younger, younger brother’"
