Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,bajar,*ku (yú-)
Chicham,Proto-Shuar,,sano; sanar,*tsaga-
Chicham,Proto-Shuar,,tabaco,*tsaangku
Chicham,Proto-Shuar,,suegra,*tsatsa
Chicham,Proto-Shuar,,punta,*tsaká-ngi-
Chicham,Proto-Shuar,,barro,*tsakúsa
Chicham,Proto-Shuar,,madurar; plátano maduro,"*tsamá-, tsamáu"
Chicham,Proto-Shuar,,dedo,*tsánga
Chicham,Proto-Shuar,,calabaza,*tsápa
Chicham,Proto-Shuar,,amanecer,*tsa(wá-)
Chicham,Proto-Shuar,,veneno,*tségasa
Chicham,Proto-Shuar,,fría; tengo frío,*tse(tsé)-
Chicham,Proto-Shuar,,correr,*tséke-
Chicham,Proto-Shuar,,dardo,*tsétsaka
Chicham,Proto-Shuar,,araña,*tsénge
Chicham,Proto-Shuar,,tucán,*tsukangkáa
Chicham,Proto-Shuar,,río abajo,*tsu(mú-)
Chicham,Proto-Shuar,,caracol de río,*tsúntsu
Chicham,Proto-Shuar,,arrancar,*tsu(ngí-)
Chicham,Proto-Shuar,,cortar,*tsúpi-
Chicham,Proto-Shuar,,curar,*tsuwá-
Chicham,Proto-Shuar,,caliente,*tsuwenga
Chicham,Proto-Shuar,,apretar,*cha-
Chicham,Proto-Shuar,,puente,*cháka
Chicham,Proto-Shuar,,canasta,*changkína
Chicham,Proto-Shuar,,yarina (palmera),*chápi
Chicham,Proto-Shuar,,hablar,*chi(chá)
Chicham,Proto-Shuar,,golondrina,*chinímpi
Chicham,Proto-Shuar,,carrizo grande,*chingkána
Chicham,Proto-Shuar,,ave,*chíngki
Chicham,Proto-Shuar,,leña,*chíngkimi(n)
Chicham,Proto-Shuar,,mono machín,*chénge
Chicham,Proto-Shuar,,gallinazo,*chuwángka
Chicham,Proto-Shuar,,codo,*chungk(úni)
Chicham,Proto-Shuar,,mojarse,*chupi-
Chicham,Proto-Shuar,,mono coto; choro (mono),*chúu
