ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
to listen	LISTEN	1608.0	Proto-Zaparoan	zapa1251	Zaparoan	tawhi	t a w h i
liver	LIVER	1224.0	Proto-Aymara	ayma1253	Aymaran	kiptʂa	k i p t ʂ a
hígado	LIVER	1224.0	Proto-Chocoan	choc1280	Chocoan	tãˈɾi	t ã ˈɾ i
liver	LIVER	1224.0	Proto-Guahiboan	guah1252	Guahiboan	pahapa	p a h a p a
fígado	LIVER	1224.0	Proto-Macro-Je	nucl1710	Macro-Jean	mbâ	m b â
fígado	LIVER	1224.0	Proto-Naduhup	nada1235	Naduhup	hǒh	h ǒ h
liver	LIVER	1224.0	Proto-Panoan	pano1256	Panoan	takʷa	t a kʷ a
liver	LIVER	1224.0	Proto-Quechuan	quec1387	Quechuan	ɲatin	ɲ a t i n
hígado	LIVER	1224.0	Proto-Shuar	jiva1245	Chicham	akápe	a k á p e
livestock	LIVESTOCK	631.0	Proto-Panoan	pano1256	Panoan	ʔinak	ʔ i n a k
lizard	LIZARD	632.0	Proto-Chibchan	chib1249	Chibchan	ulíʔ	u l í ʔ
lagartija	LIZARD	632.0	Proto-Guaicuru	guai1249	Guaicuruan	kˀolaqa	kˀ o l a q a
