ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
pava	KETTLE	854.0	Proto-Shuar	jiva1245	Chicham	waktse	w a k t s e
kick	KICK	1135.0	Proto-Aymara	ayma1253	Aymaran	wata	w a t a
patear	KICK	1135.0	Proto-Guaicuru	guai1249	Guaicuruan	pˀet	pˀ e t
chutar	KICK	1135.0	Proto-Naduhup	nada1235	Naduhup	tʼacʼiʔ	tʼ a cʼ i ʔ
to kick	KICK	1135.0	Proto-Quechuan	quec1387	Quechuan	hayta	h ay t a
to kick	KICK	1135.0	Proto-Quechuan	quec1387	Quechuan	sayta	s ay t a
kidney	KIDNEY	489.0	Proto-Aymara	ayma1253	Aymaran	mayruru	m ay r u r u
kidney	KIDNEY	489.0	Proto-Quechuan	quec1387	Quechuan	ruru	r u r u
to kill	KILL	1417.0	Proto-Arawakan	araw1281	Arawakan	inʊ	i n ʊ
kill	KILL	1417.0	Proto-Aymara	ayma1253	Aymaran	hayt͡ʃa	h ay t͡ʃ a
to kill	KILL	1417.0	Proto-Chapacuran	chap1271	Chapacuran	paʔ	p a ʔ
to kill	KILL	1417.0	Proto-Chapacuran	chap1271	Chapacuran	pɾuː	p ɾ uː
kill	KILL	1417.0	Proto-Chibchan	chib1249	Chibchan	ˈguə	ˈg uə
kill	KILL	1417.0	Proto-Guahiboan	guah1252	Guahiboan	beaxúaba	b ea x úa b a
matar	KILL	1417.0	Proto-Guaicuru	guai1249	Guaicuruan	iˀléwate	iˀ l é w a t e
to kill	KILL	1417.0	Proto-Panoan	pano1256	Panoan	ʔak	ʔ a k
to kill	KILL	1417.0	Proto-Panoan	pano1256	Panoan	ɽɨʔtɨ	ɽ ɨ ʔ t ɨ
matar	KILL	1417.0	Proto-Shuar	jiva1245	Chicham	ma	m a
to kill	KILL	1417.0	Proto-Zaparoan	zapa1251	Zaparoan	amo	a m o
kingfisher	KINGFISHER	2444.0	Proto-Panoan	pano1256	Panoan	tʃaɽaʂ	t ʃ a ɽ a ʂ
	KINGFISHER	2444.0	Proto-Tucanoan	tuca1253	Tucanoan	ts.ã.s.a	ts ã s a
beijar	KISS	578.0	Proto-Naduhup	nada1235	Naduhup	cʼũ̌p	cʼ ũ̌ p
to kiss	KISS	578.0	Proto-Quechuan	quec1387	Quechuan	mut͡ʃa	m u t͡ʃ a
to knead	KNEAD	274.0	Proto-Aymara	ayma1253	Aymaran	pʰitʂu	pʰ i t ʂ u
knee	KNEE	1371.0	Proto-Aymara	ayma1253	Aymaran	qunqura	q u n q u r a
knee	KNEE	1371.0	Proto-Aymara	ayma1253	Aymaran	qunquri	q u n q u r i
knee	KNEE	1371.0	Proto-Aymara	ayma1253	Aymaran	qunquru	q u n q u r u
knee	KNEE	1371.0	Proto-Guahiboan	guah1252	Guahiboan	matabaókao	m a t a b a ó k ao
rodilla	KNEE	1371.0	Proto-Guaicuru	guai1249	Guaicuruan	likete	l i k e t e
knee	KNEE	1371.0	Proto-Panoan	pano1256	Panoan	ɽãβoʂoko	ɽ ã β o ʂ o k o
knee	KNEE	1371.0	Proto-Panoan	pano1256	Panoan	ɽantoko	ɽ a n t o k o
knee	KNEE	1371.0	Proto-Quechuan	quec1387	Quechuan	qunqur	q u n q u r
rodilla	KNEE	1371.0	Proto-Shuar	jiva1245	Chicham	tikíshi	t i k í s h i
knife	KNIFE	1352.0	Proto-Chapacuran	chap1271	Chapacuran	ʔikit	ʔ i k i t
cuchillo	KNIFE	1352.0	Proto-Chocoan	choc1280	Chocoan	ˈneko	ˈn e k o
cuchillo	KNIFE	1352.0	Proto-Guaicuru	guai1249	Guaicuruan	kˀate	kˀ a t e
tejer	KNIT	2905.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔeqon	ʔ e q o n
knock	KNOCK	2396.0	Proto-Quechuan	quec1387	Quechuan	taka	t a k a
knot	KNOT	760.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃika	t͡ʃ i k a
knot	KNOT	760.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃilu	t͡ʃ i l u
knot	KNOT	760.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃinu	t͡ʃ i n u
nudo	KNOT	760.0	Proto-Guaicuru	guai1249	Guaicuruan	qˀotˀe	qˀ o tˀ e
knot	KNOT	760.0	Proto-Quechuan	quec1387	Quechuan	kipu	k i p u
know	KNOW	3626.0	Proto-Aymara	ayma1253	Aymaran	ama	a m a
	KNOW	3626.0	Proto-Tucanoan	tuca1253	Tucanoan	m.a.s.i	m a s i
conocer	KNOW (SOMEBODY)	2248.0	Proto-Chocoan	choc1280	Chocoan	kaua	k aua
be acquainted with	KNOW (SOMEBODY)	2248.0	Proto-Quechuan	quec1387	Quechuan	riqsi	r i q s i
to know	KNOW (SOMEBODY)	2248.0	Proto-Quechuan	quec1387	Quechuan	yatʂa	ya t ʂ a
to know (facts or how to)	KNOW (SOMETHING)	1410.0	Proto-Aymara	ayma1253	Aymaran	yati	ya t i
know	KNOW (SOMETHING)	1410.0	Proto-Chibchan	chib1249	Chibchan	sũ	s ũ
saber	KNOW (SOMETHING)	1410.0	Proto-Chocoan	choc1280	Chocoan	kaua	k aua
saber	KNOW (SOMETHING)	1410.0	Proto-Guaicuru	guai1249	Guaicuruan	iʔatsˀén	i ʔ a t sˀ é n
saber	KNOW (SOMETHING)	1410.0	Proto-Naduhup	nada1235	Naduhup	pã̌h	p ã̌ h
to know	KNOW (SOMETHING)	1410.0	Proto-Panoan	pano1256	Panoan	ʔonan	ʔ o n a n
to know (facts or how to)	KNOW HOW	2238.0	Proto-Aymara	ayma1253	Aymaran	yati	ya t i
to lack	LACK (NOT HAVE)	2329.0	Proto-Quechuan	quec1387	Quechuan	iʎa	i ʎ a
ladle	LADLE	2657.0	Proto-Aymara	ayma1253	Aymaran	wiʃʎa	w i ʃ ʎ a
ladle	LADLE	2657.0	Proto-Quechuan	quec1387	Quechuan	wiʃʎa	w i ʃ ʎ a
lagoa	LAGOON	623.0	Proto-Macro-Je	nucl1710	Macro-Jean	pyc	p y c
lagoa	LAGOON	623.0	Proto-Macro-Je	nucl1710	Macro-Jean	mb	m b
lagoa	LAGOON	623.0	Proto-Macro-Je	nucl1710	Macro-Jean	ə̂	ə̂
lagoa	LAGOON	623.0	Proto-Macro-Je	nucl1710	Macro-Jean	ə̃	ə̃
lake	LAKE	624.0	Proto-Aymara	ayma1253	Aymaran	qutʂa	q u t ʂ a
lake	LAKE	624.0	Proto-Guahiboan	guah1252	Guahiboan	púka	p ú k a
lago	LAKE	624.0	Proto-Naduhup	nada1235	Naduhup	ʔabõ̌h	ʔ a b õ̌ h
lake	LAKE	624.0	Proto-Panoan	pano1256	Panoan	ʔian	ʔ ia n
lake	LAKE	624.0	Proto-Quechuan	quec1387	Quechuan	qutʂa	q u t ʂ a
	LAKE	624.0	Proto-Tucanoan	tuca1253	Tucanoan	tsʔ.i.tt.a	tsˀ i tː a
lamb	LAMB	820.0	Proto-Quechuan	quec1387	Quechuan	uɲa	u ɲ a
lame	LAME	320.0	Proto-Aymara	ayma1253	Aymaran	wiqru	w i q r u
crippled	LAME	320.0	Proto-Quechuan	quec1387	Quechuan	wiʃtu	w i ʃ t u
lame	LAME	320.0	Proto-Quechuan	quec1387	Quechuan	wiqru	w i q r u
clod	LAND	626.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃampa	t͡ʃ a m p a
