ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
Chacon-2019-220-100_louse,louse,310,HEAD LOUSE,
Chacon-2019-220-101_hear,hear,1408,HEAR,
Chacon-2019-220-102_heart,heart,1223,HEART,
Chacon-2019-220-103_heavy,heavy,1210,HEAVY,
Chacon-2019-220-104_here,here,136,HERE,
Chacon-2019-220-105_hit,hit,1433,HIT,
Chacon-2019-220-106_hold,hold,1448,HOLD,
Chacon-2019-220-107_horn,horn,1393,HORN (ANATOMY),
Chacon-2019-220-108_hot,hot,2272,HOT OR WARM,
Chacon-2019-220-109_how,how,1239,HOW,
Chacon-2019-220-110_hunt,hunt,1435,HUNT,
Chacon-2019-220-111_husband,husband,1200,HUSBAND,
Chacon-2019-220-112_i,i,1209,I,
Chacon-2019-220-113_homeathome,home (at home),,,
Chacon-2019-220-114_in,in,1460,IN,
Chacon-2019-220-115_inside,inside,1606,INSIDE,
Chacon-2019-220-116_jaguar,jaguar,1250,JAGUAR,
Chacon-2019-220-117_kill,kill,1417,KILL,
Chacon-2019-220-118_knee,knee,1371,KNEE,
Chacon-2019-220-119_know,know,1410,KNOW (SOMETHING),
Chacon-2019-220-120_lake,lake,624,LAKE,
Chacon-2019-220-121_tapuru,tapuru,2640,LARVA,
Chacon-2019-220-122_leaf,leaf,628,LEAF,
Chacon-2019-220-123_left,left,244,LEFT,
Chacon-2019-220-124_leg,leg,1297,LEG,
Chacon-2019-220-125_lying,lying,215,LIE DOWN,
Chacon-2019-220-126_lightv,light (v),737,LIGHT (IGNITE),
Chacon-2019-220-127_lips,lips,478,LIP,
Chacon-2019-220-128_liver,liver,1224,LIVER,
Chacon-2019-220-129_long,long,1203,LONG,
Chacon-2019-220-130_man,man,1554,MAN,
Chacon-2019-220-131_many,many,1198,MANY,
Chacon-2019-220-132_milk,milk,635,MILK,
Chacon-2019-220-133_moon,moon,1313,MOON,
Chacon-2019-220-134_morning,morning,1339,MORNING,
Chacon-2019-220-135_mother,mother,1216,MOTHER,
Chacon-2019-220-136_mountain,mountain,639,MOUNTAIN,
Chacon-2019-220-137_mouth,mouth,674,MOUTH,
Chacon-2019-220-138_name,name,1405,NAME,
Chacon-2019-220-139_narrow,narrow,1267,NARROW,
Chacon-2019-220-140_navel,navel,1838,NAVEL,
Chacon-2019-220-141_near,near,1942,NEAR,
Chacon-2019-220-142_neck,neck,1333,NECK,
Chacon-2019-220-143_new,new,1231,NEW,
Chacon-2019-220-144_night,night,1233,NIGHT,
Chacon-2019-220-145_no,no,1269,NO,
Chacon-2019-220-146_nose,nose,1221,NOSE,
Chacon-2019-220-147_old,old,1229,OLD,
Chacon-2019-220-148_one,one,1493,ONE,
Chacon-2019-220-149_other,other,197,OTHER,
Chacon-2019-220-150_path,path,2252,PATH,
Chacon-2019-220-151_people,people,789,PEOPLE,
Chacon-2019-220-152_personcivilized,"person, civilized",,,
Chacon-2019-220-153_pierce,pierce,398,PIERCE,
Chacon-2019-220-154_play,play,1413,PLAY,
Chacon-2019-220-155_throw,throw,1456,THROW,
Chacon-2019-220-156_pull,pull,1455,PULL,
Chacon-2019-220-157_push,push,1452,PUSH,
Chacon-2019-220-158_rain,rain,658,RAIN (PRECIPITATION),
Chacon-2019-220-159_red,red,156,RED,
Chacon-2019-220-160_right,right,1019,RIGHT,
Chacon-2019-220-161_ripe,ripe,178,RIPE,
Chacon-2019-220-162_river,river,666,RIVER,
Chacon-2019-220-163_stone,stone,668,ROCK,
Chacon-2019-220-164_root,root,670,ROOT,
Chacon-2019-220-165_rope,rope,1218,ROPE,
Chacon-2019-220-166_rotten,rotten,1728,ROTTEN,
Chacon-2019-220-167_round,round,1395,ROUND,
Chacon-2019-220-168_run,run,1519,RUN,
Chacon-2019-220-169_saliva,saliva,1503,SALIVA,
Chacon-2019-220-170_salt,salt,1274,SALT,
Chacon-2019-220-171_say,say,1458,SAY,
Chacon-2019-220-172_scratch,scratch,1436,SCRATCH,
Chacon-2019-220-173_sea,sea,1474,SEA,
Chacon-2019-220-174_see,see,1409,SEE,
Chacon-2019-220-175_seed,seed,714,SEED,
Chacon-2019-220-176_sew,sew,1457,SEW,
Chacon-2019-220-177_sharp,sharp,1396,SHARP,
