ID,Language_ID,Parameter_ID,Form,Segments,Source
f1,l1,p1,ɨna,ɨ n a,HGN
f2,l2,p1,jɨa,j ɨa,HGN
f3,l3,p1,ɨ̃'hã́,ɨ̃ h ã́,HGN
f4,l4,p1,mɯɯ́ʔa,m ɯɯ́ ʔ a,HGN
f5,l5,p1,xãã,x ãã,HGN
f6,l6,p1,ihi,i h i,HGN
f7,l6,p1,rihi,r i h i,HGN
f8,l7,p1,nanaka,n a n a k a,HGN
f9,l8,p1,wexrnaka,w e x r n a k a,HGN
f10,l9,p1,sam,s a m,HGN
f11,l10,p1,ɲɨxa,ɲ ɨ x a,HGN
f12,l11,p1,pakhanɨ,p a k h a n ɨ,HGN
f13,l12,p1,gɨa,g ɨa,HGN
f14,l13,p1,'tai,t ai,HGN
f15,l14,p1,ana,a n a,HGN
f16,l15,p1,xatisel,x a t i s e l,HGN
f17,l16,p1,sihnitʸeʔke,s i h n i tʸ e ʔ k e,HGN
f18,l16,p1,sihniʔke,s i h n i ʔ k e,HGN
f19,l17,p1,tisuge,t i s u g e,HGN
f20,l18,p1,naʔna,n a ʔ n a,HGN
f21,l19,p1,nokɨ,n o k ɨ,HGN
f22,l19,p1,nokɨ̃,n o k ɨ̃,HGN
f23,l19,p1,nõ,n õ,HGN
f24,l20,p1,penu,p e n u,HGN;gerardireichert2021;gerardietal2021
f25,l21,p1,dʒʉkhʉna,d ʒ ʉ k h ʉ n a,HGN
f26,l22,p1,sã,s ã,HGN
f27,l23,p1,tsitsɛ,t s i t s ɛ,HGN
f28,l24,p1,we,w e,HGN
f29,l25,p1,yekheweliɬ,ye k h e w e l i ɬ,HGN
f30,l26,p1,pakhan,p a k h a n,HGN
f31,l27,p1,jikɨ,j i k ɨ,HGN
f32,l28,p1,kɨwɨ,k ɨ w ɨ,HGN
f33,l29,p1,gɨa,g ɨa,HGN
f34,l30,p1,úrɨnɨkóŋ,ú r ɨ n ɨ k ó ŋ,HGN
f35,l31,p1,e'nɛ,e n ɛ,HGN
f36,l32,p1,inčiɲ,i n č i ɲ,HGN
f37,l33,p1,nuki,n u k i,HGN
f38,l33,p1,u,u,HGN
f39,l33,p1,ubi,u b i,HGN
f40,l34,p1,iʔɬi,i ʔ ɬ i,HGN
f41,l35,p1,ʔãh,ʔ ã h,HGN
f42,l36,p1,jamak,j a m a k,HGN
f43,l36,p1,kamatʃehekə,k a m a t ʃ e h e k ə,HGN
f44,l36,p1,kamijamak,k a m i j a m a k,HGN
f45,l37,p1,yi'waačaeɬ,yi w aa č ae ɬ,HGN
f46,l38,p1,ɲoqajku,ɲ o q a j k u,HGN
f47,l320,p1,muuʔá,m uu ʔ á,HGN
f48,l40,p1,jɨ'kɨ',j ɨ k ɨ,HGN
f49,l41,p1,paxanɨ,p a x a n ɨ,HGN
f50,l42,p1,jɨkɨna,j ɨ k ɨ n a,HGN
f51,l43,p1,gɨ'á,g ɨ á,HGN
f52,l44,p1,aĵpá,a ĵ p á,HGN
f53,l44,p1,wajwíkire,w a j w í k i r e,HGN
f54,l45,p1,jiha,j i h a,HGN
f55,l46,p1,hãã,h ãã,HGN
f56,l47,p1,tomaʔ,t o m a ʔ,HGN
f57,l48,p1,anja,a n j a,HGN
f58,l49,p1,ɨ̃sã́,ɨ̃ s ã́,HGN
f59,l50,p1,ɨ̃ʔsã,ɨ̃ ʔ s ã,HGN
f60,l51,p1,kanakaana,k a n a k aa n a,HGN
f61,l52,p1,amna,a m n a,HGN
f62,l53,p1,ɨ̃'sã,ɨ̃ s ã,HGN
f63,l54,p1,hã́,h ã́,HGN
f64,l55,p1,aʔa,a ʔ a,HGN
f65,l259,p1,warut,w a r u t,HGN
f66,l246,p1,ɔlɔ,ɔ l ɔ,HGN;gerardireichert2021;gerardietal2021
f67,l246,p1,ɔlɛ,ɔ l ɛ,HGN;gerardireichert2021;gerardietal2021
f68,l58,p1,emna,e m n a,HGN
f69,l59,p1,namiɬ,n a m i ɬ,HGN
f70,l60,p1,nũj,n ũ j,HGN
f71,l61,p1,kamijafɨk,k a m i j a f ɨ k,HGN
f72,l62,p1,jamakɨ,j a m a k ɨ,HGN
f73,l62,p1,kamijəjahəkɨ,k a m i j ə j a h ə k ɨ,HGN
f74,l62,p1,kamijəjamakɨ,k a m i j ə j a m a k ɨ,HGN
f75,l62,p1,pəmakɨ,p ə m a k ɨ,HGN
f76,l63,p1,ɨ̃'sã́,ɨ̃ s ã́,HGN
f77,l64,p2,wája,w á j a,HGN
f78,l262,p2,naǰe,n a ǰ e,HGN;gerardietal2021
f79,l66,p2,iː,iː,HGN
f80,l67,p2,nya,n ya,HGN
f81,l68,p2,ina,i n a,HGN
f82,l68,p2,kujaʔnɔkoŋ,k u j a ʔ n ɔ k o ŋ,HGN
f83,l69,p2,keə̃,k eə̃,HGN
f84,l1,p2,kuahtao,k ua h t ao,HGN
f85,l1,p2,kɨmarokomo,k ɨ m a r o k o m o,HGN
f86,l70,p2,kʷada,kʷ a d a,HGN
f87,l70,p2,kʷadaha,kʷ a d a h a,HGN
f88,l71,p2,materya,m a t e r ya,HGN
f89,l72,p2,iː,iː,HGN
f90,l276,p2,wháa,w h áa,HGN
f91,l2,p2,badi,b a d i,HGN
f92,l3,p2,bã'dĩ́,b ã d ĩ́,HGN
f93,l74,p2,viti',v i t i,HGN
f94,l4,p2,mɯʔpʰɨ,m ɯ ʔ pʰ ɨ,HGN
f95,l4,p2,mɯʔtsʰi,m ɯ ʔ t sʰ i,HGN
f96,l75,p2,bəndat,b ə n d a t,HGN
f97,l76,p2,ija,i j a,HGN
f98,l77,p2,mrɔ̃,m r ɔ̃,HGN
f99,l5,p2,mãɾĩ,m ã ɾ ĩ,HGN
f100,l78,p2,ekʷana,e kʷ a n a,HGN
f101,l78,p2,ekʷanara,e kʷ a n a r a,HGN
f102,l78,p2,yače,ya č e,HGN
f103,l7,p2,xiwasa,x i w a s a,HGN
f104,l8,p2,uč̣um,u č̣ u m,HGN;blumetal2023
f105,l79,p2,yaⁿde,yaⁿ d e,HGN;gerardireichert2021;gerardietal2021
f106,l9,p2,samel,s a m e l,HGN
f107,l9,p2,yemel,ye m e l,HGN
f108,l80,p2,iŋgi,i ŋ g i,HGN
f109,l10,p2,maxa,m a x a,HGN
f110,l11,p2,waxán,w a x á n,HGN
f111,l11,p2,waxáintʃi,w a x ái n t ʃ i,HGN
f112,l12,p2,mari,m a r i,HGN
f113,l81,p2,hirø,h i r ø,HGN
f114,l82,p2,ʔid,ʔ i d,HGN
f115,l13,p2,'tači,t a č i,HGN
f116,l132,p2,eseha,e s e h a,HGN
f117,l14,p2,weʔɲəkon,w e ʔ ɲ ə k o n,HGN
f118,l14,p2,yutokon,yu t o k o n,HGN
f119,l15,p2,s,s,HGN
f120,l15,p2,xatís,x a t í s,HGN
f121,l84,p2,iː,iː,HGN
f122,l85,p2,ʔɨ́d,ʔ ɨ́ d,HGN
f123,l86,p2,nukantʃi,n u k a n t ʃ i,HGN;blumetal2023
f124,l87,p2,kana,k a n a,HGN
f125,l87,p2,kanáaha,k a n áa h a,HGN
f126,l87,p2,p'ɨ,p ɨ,HGN
f127,l16,p2,dihnitʸeʔke,d i h n i tʸ e ʔ k e,HGN
f128,l16,p2,dihniʔke,d i h n i ʔ k e,HGN
f129,l281,p2,wa,w a,HGN
f130,l281,p2,whé,w h é,HGN
f131,l89,p2,ẽg,ẽ g,HGN
f132,l90,p2,fǐt,f ǐ t,HGN
f133,l17,p2,kukuge,k u k u g e,HGN
f134,l91,p2,inɨ,i n ɨ,HGN
f135,l18,p2,kɨhkaron,k ɨ h k a r o n,HGN
f136,l248,p2,ɨj,ɨ j,HGN;galucioetal2015;gerardietal2021
f137,l19,p2,nokɨ,n o k ɨ,HGN
f138,l19,p2,nokɨ̃,n o k ɨ̃,HGN
f139,l19,p2,nõ,n õ,HGN
f140,l21,p2,mai,m ai,HGN
f141,l22,p2,mãɾĩ,m ã ɾ ĩ,HGN
f142,l23,p2,txana,t x a n a,HGN
f143,l24,p2,we,w e,HGN
f144,l25,p2,inekhewel,i n e k h e w e l,HGN
f145,l25,p2,inekhewelkiʔ,i n e k h e w e l k i ʔ,HGN
f146,l26,p2,kemɨkát,k e m ɨ k á t,HGN
f147,l26,p2,wakhan,w a k h a n,HGN
f148,l27,p2,maixã,m ai x ã,HGN
f149,l28,p2,kɨnwanno,k ɨ n w a nn o,HGN
f150,l29,p2,badi,b a d i,HGN
f151,l30,p2,anna,a nn a,HGN
f152,l31,p2,naha,n a h a,HGN
f153,l32,p2,inčiɲ,i n č i ɲ,HGN
f154,l33,p2,umbi,u m b i,HGN
f155,l93,p2,kaɯ,k aɯ,HGN
f156,l93,p2,káɯŋaɯ,k áɯ ŋ aɯ,HGN
f157,l93,p2,kóko,k ó k o,HGN
f158,l94,p2,'c̷uɲ,c̷ u ɲ,HGN
f159,l34,p2,iɗe,i ɗ e,HGN
f160,l95,p2,mɨ́si,m ɨ́ s i,HGN
f161,l95,p2,mɨ́ɸɛ,m ɨ́ ɸ ɛ,HGN
f162,l95,p2,mɨ́ɨ́ʔai,m ɨ́ɨ́ ʔ ai,HGN
f163,l287,p2,ʂie,ʂ ie,HGN
f164,l97,p2,kaiɲaɯ,k ai ɲ aɯ,HGN
f165,l97,p2,kaɯ,k aɯ,HGN
f166,l97,p2,koko,k o k o,HGN
f167,l98,p2,teːkene,t eː k e n e,HGN
f168,l35,p2,ʔǝːr,ʔ ǝː r,HGN
f169,l99,p2,ɲukantʃi,ɲ u k a n t ʃ i,HGN;blumetal2023
f170,l100,p2,ja,j a,HGN;gerardireichert2021;gerardietal2021
f171,l36,p2,kahowamak,k a h o w a m a k,HGN
f172,l36,p2,kamatʃamakə,k a m a t ʃ a m a k ə,HGN
f173,l36,p2,wamak,w a m a k,HGN
f174,l37,p2,kas'waača,k a s w aa č a,HGN
f175,l101,p2,dhádʒĩrã́,d h á d ʒ ĩ r ã́,HGN
f176,l102,p2,ɸiit²,ɸ ii t ²,HGN
f177,l103,p2,kaɯ,k aɯ,HGN
f178,l104,p2,xaho,x a h o,HGN
f179,l104,p2,xaka,x a k a,HGN
f180,l104,p2,xoxo,x o x o,HGN
f181,l224,p2,ɲaⁿde,ɲ aⁿ d e,HGN;galucioetal2015;gerardireichert2021;gerardietal2021
f182,l316,p2,witso,w i t s o,HGN
f183,l107,p2,wía,w ía,HGN
f184,l108,p2,uhutu,u h u t u,HGN
f185,l109,p2,waxánmóne,w a x á n m ó n e,HGN
f186,l110,p2,bitu,b i t u,HGN
f187,l111,p2,kukueʃ,k u k ue ʃ,HGN
f188,l111,p2,kueku,k ue k u,HGN
f189,l38,p2,noqantʃik,n o q a n t ʃ i k,HGN;blumetal2023
f190,l320,p2,faʔá,f a ʔ á,HGN
f191,l112,p2,kamitʃamak,k a m i t ʃ a m a k,HGN
f192,l113,p2,mɨyono,m ɨyo n o,HGN
f193,l40,p2,maiʔ,m ai ʔ,HGN
f194,l41,p2,waːxánitsi,w aː x á n i t s i,HGN
f195,l41,p2,waːxáitsi,w aː x ái t s i,HGN
f196,l42,p2,mai,m ai,HGN
f197,l43,p2,bã'rĩ́,b ã r ĩ́,HGN
f198,l184,p2,nane,n a n e,HGN;gerardireichert2021;gerardietal2021
f199,l115,p2,ãxu,ã x u,HGN
f200,l116,p2,ekʷaneda,e kʷ a n e d a,HGN
f201,l45,p2,bãrã,b ã r ã,HGN
f202,l117,p2,waha,w a h a,HGN
f203,l46,p2,bã'rĩ,b ã r ĩ,HGN
f204,l118,p2,ajo,a j o,HGN
f205,l47,p2,yixemax,yi x e m a x,HGN
f206,l48,p2,kɨmǝ,k ɨ m ǝ,HGN
f207,l49,p2,mãrĩ́,m ã r ĩ́,HGN
f208,l50,p2,bãʔrĩ,b ã ʔ r ĩ,HGN
f209,l51,p2,kana,k a n a,HGN
f210,l52,p2,kɨwyam,k ɨ w ya m,HGN
f211,l52,p2,kɨɨwɨ,k ɨɨ w ɨ,HGN
f212,l53,p2,bã'rĩ,b ã r ĩ,HGN
f213,l54,p2,mání,m á n í,HGN
f214,l55,p2,kɨkɨ,k ɨ k ɨ,HGN
f215,l119,p2,waɨnau,w aɨ n au,HGN
f216,l120,p2,oko,o k o,HGN
f217,l259,p2,wariʔ,w a r i ʔ,HGN
f218,l246,p2,ja,j a,HGN;gerardireichert2021;gerardietal2021
f219,l246,p2,janɛ,j a n ɛ,HGN;gerardireichert2021;gerardietal2021
f220,l58,p2,kut,k u t,HGN
f221,l59,p2,oɬamiɬ,o ɬ a m i ɬ,HGN
f222,l121,p2,ehnə,e h n ə,HGN
f223,l60,p2,wuɲi,w u ɲ i,HGN
f224,l61,p2,kamijamak,k a m i j a m a k,HGN
f225,l62,p2,kamijəpəhəkɨ,k a m i j ə p ə h ə k ɨ,HGN
f226,l62,p2,kamijəpəmakɨ,k a m i j ə p ə m a k ɨ,HGN
f227,l122,p2,wajaha,w a j a h a,HGN
f228,l123,p2,ʔɨd,ʔ ɨ d,HGN
f229,l124,p2,epi,e p i,HGN
f230,l333,p2,weká,w e k á,HGN
f231,l63,p2,bãrɨ̃́,b ã r ɨ̃́,HGN
f232,l126,p2,kana,k a n a,HGN
f233,l126,p2,kanaha,k a n a h a,HGN
f234,l126,p2,pa,p a,HGN
f235,l262,p300,čo,č o,HGN;gerardietal2021
f236,l66,p300,wi,w i,HGN
f237,l67,p300,urö,u r ö,HGN
f238,l68,p300,urɤ,u r ɤ,HGN
f239,l69,p300,oʔə,o ʔ ə,HGN
f240,l1,p300,ɨwɨ,ɨ w ɨ,HGN
f241,l70,p300,ema,e m a,HGN
f242,l70,p300,yama,ya m a,HGN
f243,l71,p300,ma,m a,HGN
f244,l71,p300,maykate,m ay k a t e,HGN
f245,l71,p300,tsa,t s a,HGN
f246,l72,p300,wi,w i,HGN
f247,l72,p300,wíka,w í k a,HGN
f248,l127,p300,uu'yu,uu yu,HGN
f249,l127,p300,yu,yu,HGN
f250,l276,p300,nhóa,n h ó a,HGN;chacon2017;chaconetal2019;walkerribeiro2011
f251,l2,p300,jʉ,j ʉ,HGN;chacon2017
f252,l277,p300,nuni,n u n i,HGN;walkerribeiro2011
f253,l3,p300,jɨ'ɨ́,j ɨ ɨ́,HGN
f254,l129,p300,nãi,n ãi,HGN;chacon2017;costenla2005
f255,l74,p300,ni,n i,HGN;walkerribeiro2011
f256,l74,p300,nti,n t i,HGN;walkerribeiro2011
f257,l4,p300,oó,o ó,HGN;chacon2017
f258,l75,p300,ats,a t s,HGN;chacon2017
f259,l76,p300,nowa,n o w a,HGN
f260,l77,p300,kʰam,kʰ a m,HGN
f261,l5,p300,jɨ,j ɨ,HGN;chacon2017
f262,l78,p300,era,e r a,HGN
f263,l78,p300,ike,i k e,HGN
f264,l6,p300,a,a,HGN
f265,l6,p300,hi,h i,HGN
f266,l6,p300,ri,r i,HGN
f267,l6,p300,ro,r o,HGN
f268,l7,p300,naya,n aya,HGN
f269,l130,p300,i,i,HGN;chacon2017
f270,l130,p300,'iya,iya,HGN;chacon2017
f271,l8,p300,werx,w e r x,HGN
f272,l8,p300,wexrki,w e x r k i,HGN
f273,l79,p300,se,s e,HGN;gerardietal2021
f274,l79,p300,če,č e,HGN;gerardietal2021
f275,l9,p300,yem,ye m,HGN
f276,l131,p300,ɨ,ɨ,HGN
f277,l131,p300,ɨa,ɨa,HGN
f278,l80,p300,ɲa,ɲ a,HGN
f279,l10,p300,jɨ,j ɨ,HGN;chacon2017
f280,l12,p300,jɨʔɨ,j ɨ ʔ ɨ,HGN;chacon2017;koch1914
f281,l81,p300,hø,h ø,HGN
f282,l82,p300,ʔãh,ʔ ã h,HGN
f283,l13,p300,mɨ,m ɨ,HGN;chacon2017
f284,l13,p300,'mɨči,m ɨ č i,HGN;chacon2017
f285,l132,p300,eya,eya,HGN
f286,l132,p300,eyaya,eyaya,HGN
f287,l14,p300,ju,j u,HGN
f288,l15,p300,xan,x a n,HGN;chacon2017
f289,l84,p300,wi,w i,HGN
f290,l85,p300,ʔáh,ʔ á h,HGN;chacon2017
f291,l133,p300,'nuti,n u t i,HGN;walkerribeiro2011
f292,l87,p300,ki,k i,HGN
f293,l87,p300,ku,k u,HGN
f294,l16,p300,osni,o s n i,HGN
f295,l16,p300,osniʔka,o s n i ʔ k a,HGN
f296,l281,p300,nhú,n h ú,HGN;chacon2017;chacon2017;walkerribeiro2011
f297,l89,p300,ʔiɲ,ʔ i ɲ,HGN
f298,l134,p300,ʔɨ,ʔ ɨ,HGN
f299,l90,p300,wěm,w ě m,HGN;chacon2017
f300,l17,p300,uge,u g e,HGN
f301,l264,p300,ije,i j e,HGN;gerardietal2021
f302,l91,p300,ǰiarɨ̃,ǰ ia r ɨ̃,HGN
f303,l18,p300,awu,a w u,HGN
f304,l248,p300,ɨ,ɨ,HGN;galucioetal2015;gerardietal2021
f305,l248,p300,ɨ̃nɨ̃,ɨ̃ n ɨ̃,HGN;galucioetal2015;gerardietal2021
f306,l19,p300,ɨa,ɨa,HGN
f307,l19,p300,ɨã,ɨã,HGN
f308,l19,p300,ɨ̃,ɨ̃,HGN
f309,l20,p300,etse,e t s e,HGN;gerardietal2021
f310,l21,p300,dʒʉʔʉ,d ʒ ʉ ʔ ʉ,HGN;chacon2017
f311,l22,p300,jʉ,j ʉ,HGN;chacon2017
f312,l22,p300,jʉʔʉ,j ʉ ʔ ʉ,HGN;chacon2017
f313,l23,p300,si,s i,HGN
f314,l136,p300,koo,k oo,HGN
f315,l25,p300,yakhaʔ,ya k h a ʔ,HGN
f316,l27,p300,ji,j i,HGN;chacon2017
f317,l28,p300,ɨwɨ,ɨ w ɨ,HGN
f318,l30,p300,urɨ,u r ɨ,HGN
f319,l306,p300,nújaha,n ú j a h a,HGN;walkerribeiro2011
f320,l31,p300,wʊhʊ,w ʊ h ʊ,HGN
f321,l32,p300,inče,i n č e,HGN
f322,l33,p300,ɨ,ɨ,HGN
f323,l93,p300,kúɛ,k úɛ,HGN;chacon2017
f324,l138,p300,ayim,ayi m,HGN
f325,l138,p300,yim,yi m,HGN
f326,l94,p300,yo'ẽ,yo ẽ,HGN
f327,l34,p300,inɬa,i n ɬ a,HGN
f328,l95,p300,úúxóʔo,úú x ó ʔ o,HGN;chacon2017
f329,l287,p300,hɨʂa,h ɨ ʂ a,HGN;costenla2005
f330,l97,p300,kuɛ,k uɛ,HGN;chacon2017
f331,l98,p300,teːne,t eː n e,HGN
f332,l139,p300,ʔɨ̃h,ʔ ɨ̃ h,HGN
f333,l35,p300,ʔɨ̃h,ʔ ɨ̃ h,HGN
f334,l99,p300,ɲuka,ɲ u k a,HGN
f335,l100,p300,iʃé,i ʃ é,HGN;gerardietal2021
f336,l36,p300,ja,j a,HGN
f337,l36,p300,kamije,k a m i j e,HGN
f338,l37,p300,yi'waača,yi w aa č a,HGN
f339,l101,p300,mʉ̃,m ʉ̃,HGN;chacon2017
f340,l103,p300,kúɛ,k úɛ,HGN;chacon2017
f341,l104,p300,xo,x o,HGN;chacon2017
f342,l104,p300,xõɯ̃,x õɯ̃,HGN;chacon2017
f343,l140,p300,'ɨa,ɨa,HGN
f344,l224,p300,če,č e,HGN;galucioetal2015;gerardietal2021
f345,l316,p300,natyo,n a t yo,HGN;walkerribeiro2011
f346,l141,p300,yuurö,yuu r ö,HGN
f347,l107,p300,núa,n úa,HGN;chacon2017;chacon2017;walkerribeiro2011
f348,l108,p300,thɨ,t h ɨ,HGN
f349,l142,p300,hayim,h ayi m,HGN
f350,l109,p300,xáni,x á n i,HGN;chacon2017
f351,l110,p300,am,a m,HGN;chacon2017
f352,l143,p300,c̷e,c̷ e,HGN
f353,l38,p300,ɲoqa,ɲ o q a,HGN
f354,l144,p300,koo,k oo,HGN
f355,l145,p300,koʔo,k o ʔ o,HGN
f356,l112,p300,kamitʃa,k a m i t ʃ a,HGN
f357,l113,p300,mɨ,m ɨ,HGN
f358,l40,p300,jɨʔ'ɨ,j ɨ ʔ ɨ,HGN;chacon2017
f359,l146,p300,yah,ya h,HGN
f360,l147,p300,ɨa,ɨa,HGN
f361,l41,p300,xánɨ,x á n ɨ,HGN;chacon2017
f362,l42,p300,jɨʔɨ,j ɨ ʔ ɨ,HGN;chacon2017
f363,l43,p300,jɨɨ́,j ɨɨ́,HGN;chacon2017
f364,l148,p300,ɲuka,ɲ u k a,HGN
f365,l44,p300,pá,p á,HGN
f366,l116,p300,ema,e m a,HGN
f367,l116,p300,yama,ya m a,HGN
f368,l45,p300,ʎiʔ'i,ʎ i ʔ i,HGN
f369,l46,p300,jɨɨ,j ɨɨ,HGN;chacon2017
f370,l118,p300,u,u,HGN
f371,l118,p300,ujo,u j o,HGN
f372,l149,p300,i,i,HGN
f373,l149,p300,y,y,HGN
f374,l149,p300,'yā,y ā,HGN
f375,l47,p300,tʃamaʔ,t ʃ a m a ʔ,HGN
f376,l48,p300,wiː,w iː,HGN
f377,l150,p300,ayim,ayi m,HGN
f378,l151,p300,n,n,HGN
f379,l152,p300,ha,h a,HGN
f380,l152,p300,hai,h ai,HGN
f381,l152,p300,haits,h ai t s,HGN
f382,l49,p300,jɨ'ɨ́,j ɨ ɨ́,HGN;chacon2017
f383,l50,p300,jɨʔɨ,j ɨ ʔ ɨ,HGN;chacon2017
f384,l51,p300,kanʉ,k a n ʉ,HGN
f385,l52,p300,owɨ,o w ɨ,HGN
f386,l54,p300,djɨ́,d j ɨ́,HGN;chacon2017
f387,l55,p300,awi,a w i,HGN
f388,l55,p300,aː,aː,HGN
f389,l55,p300,kara,k a r a,HGN
f390,l55,p300,kra,k r a,HGN
f391,l119,p300,ũgarɨ,ũ g a r ɨ,HGN;walkerribeiro2011
f392,l120,p300,ine,i n e,HGN
f393,l246,p300,ijɛ,i j ɛ,HGN;gerardietal2021
f394,l58,p300,ɨwu,ɨ w u,HGN
f395,l153,p300,taya,t aya,HGN;chacon2017;walkerribeiro2011
f396,l59,p300,oɬam,o ɬ a m,HGN
f397,l121,p300,wəre,w ə r e,HGN
f398,l60,p300,daj,d a j,HGN
f399,l154,p300,ɨa,ɨa,HGN
f400,l154,p300,ɨ̃,ɨ̃,HGN
f401,l61,p300,kamije,k a m i j e,HGN
f402,l62,p300,ja,j a,HGN
f403,l62,p300,kamije,k a m i j e,HGN
f404,l122,p300,nujaha,n u j a h a,HGN
f405,l155,p300,hita,h i t a,HGN;walkerribeiro2011
f406,l155,p300,no,n o,HGN;walkerribeiro2011
f407,l123,p300,ʔah,ʔ a h,HGN
f408,l124,p300,a'wi,a w i,HGN;chacon2017
f409,l333,p300,nuká,n u k á,HGN;chacon2017;chacon2017;walkerribeiro2011
f410,l63,p300,jɨ́,j ɨ́,HGN;chacon2017
f411,l126,p300,ku,k u,HGN
f412,l64,p4,ijá,i j á,HGN;chacon2017;walkerribeiro2011
f413,l262,p4,pẽǰe,p ẽ ǰ e,HGN;gerardietal2021
f414,l66,p4,átum,á t u m,HGN
f415,l68,p4,amɤrɤʔnɔkoŋ,a m ɤ r ɤ ʔ n ɔ k o ŋ,HGN
f416,l69,p4,kə̃ə,k ə̃ə,HGN
f417,l1,p4,amarokomo,a m a r o k o m o,HGN
f418,l70,p4,mikana,m i k a n a,HGN
f419,l70,p4,mikanaha,m i k a n a h a,HGN
f420,l72,p4,atum,a t u m,HGN
f421,l127,p4,uak,ua k,HGN
f422,l127,p4,'uakeʔ,ua k e ʔ,HGN
f423,l276,p4,hía,h ía,HGN;chaconetal2019;walkerribeiro2011
f424,l2,p4,bɨa,b ɨa,HGN;chacon2017
f425,l3,p4,bɨ̃́hã,b ɨ̃́ h ã,HGN
f426,l129,p4,bidyi,b i d yi,HGN;costenla2005
f427,l74,p4,ji'ti,j i t i,HGN;walkerribeiro2011
f428,l4,p4,ámɯʔpʰɨ,á m ɯ ʔ pʰ ɨ,HGN;chacon2017
f429,l4,p4,ámɯʔtsʰi,á m ɯ ʔ t sʰ i,HGN;chacon2017
f430,l4,p4,ámɯɯ́ʔa,á m ɯɯ́ ʔ a,HGN;chacon2017
f431,l75,p4,tɕɨngabtánga,t ɕ ɨ n g a b t á n g a,HGN;chacon2017
f432,l76,p4,sija,s i j a,HGN
f433,l5,p4,mɨyãã,m ɨyãã,HGN;chacon2017
f434,l78,p4,mikʷana,m i kʷ a n a,HGN
f435,l78,p4,mikʷanara,m i kʷ a n a r a,HGN
f436,l6,p4,ipir,i p i r,HGN
f437,l6,p4,pir,p i r,HGN
f438,l6,p4,pri,p r i,HGN
f439,l7,p4,xumamaka,x u m a m a k a,HGN
f440,l130,p4,'ɲulʸa,ɲ u lʸ a,HGN;chacon2017
f441,l8,p4,anč̣ʰuk,a n č̣ʰ u k,HGN
f442,l79,p4,pee,p ee,HGN;gerardietal2021
f443,l79,p4,peⁿde,p eⁿ d e,HGN;gerardietal2021
f444,l9,p4,amel,a m e l,HGN
f445,l131,p4,ka,k a,HGN
f446,l80,p4,kʸɛʔi,kʸ ɛ ʔ i,HGN
f447,l10,p4,mɨxa,m ɨ x a,HGN;chacon2017
f448,l11,p4,paxám,p a x á m,HGN;chacon2017
f449,l12,p4,mɨa,m ɨa,HGN;chacon2017
f450,l82,p4,nɨg,n ɨ g,HGN
f451,l13,p4,'pãra,p ã r a,HGN;chacon2017
f452,l13,p4,'pãči,p ã č i,HGN;chacon2017
f453,l132,p4,mekeanaya,m e k ea n aya,HGN
f454,l132,p4,mikiana,m i k ia n a,HGN
f455,l132,p4,mikianaya,m i k ia n aya,HGN
f456,l14,p4,aɲimonton,a ɲ i m o n t o n,HGN
f457,l15,p4,xámal,x á m a l,HGN;chacon2017
f458,l84,p4,atum,a t u m,HGN
f459,l85,p4,dɨ́g,d ɨ́ g,HGN;chacon2017
f460,l133,p4,'eti,e t i,HGN;walkerribeiro2011
f461,l133,p4,'etiana,e t ia n a,HGN;walkerribeiro2011
f462,l87,p4,kina,k i n a,HGN
f463,l87,p4,kináaha,k i n áa h a,HGN
f464,l16,p4,dihniʔtʸe,d i h n i ʔ tʸ e,HGN
f465,l89,p4,ʔãyaŋ,ʔ ãya ŋ,HGN
f466,l134,p4,mic̷o,m i c̷ o,HGN
f467,l90,p4,jěbm,j ě b m,HGN;chacon2017
f468,l264,p4,pehê,p e h ê,HGN
f469,l18,p4,amɨjaron,a m ɨ j a r o n,HGN
f470,l19,p4,mato,m a t o,HGN
f471,l19,p4,matõ,m a t õ,HGN
f472,l19,p4,mã,m ã,HGN
f473,l21,p4,mʉsanʉko,m ʉ s a n ʉ k o,HGN;chacon2017
f474,l22,p4,mʉ̃sã,m ʉ̃ s ã,HGN;chacon2017
f475,l23,p4,xyitsɛ,x yi t s ɛ,HGN
f476,l136,p4,kyelɬiŋkyip,k ye l ɬ i ŋ k yi p,HGN
f477,l24,p4,hi,h i,HGN;walkerribeiro2011
f478,l25,p4,ekheweliɬ,e k h e w e l i ɬ,HGN
f479,l27,p4,mɨsa,m ɨ s a,HGN;chacon2017
f480,l28,p4,ənwanno,ə n w a nn o,HGN
f481,l29,p4,bɨa,b ɨa,HGN;chacon2017
f482,l30,p4,ámɨrɨ́nɨkóŋ,á m ɨ r ɨ́ n ɨ k ó ŋ,HGN
f483,l31,p4,ankotomo,a n k o t o m o,HGN
f484,l32,p4,eymɨn,ey m ɨ n,HGN
f485,l33,p4,mi,m i,HGN
f486,l33,p4,mibi,m i b i,HGN
f487,l93,p4,ómoɯ,ó m oɯ,HGN;chacon2017
f488,l93,p4,ómɯkoɯ,ó m ɯ k oɯ,HGN;chacon2017
f489,l93,p4,ómɯŋo,ó m ɯ ŋ o,HGN;chacon2017
f490,l138,p4,ḳamiri,ḳ a m i r i,HGN
f491,l138,p4,ḳamii,ḳ a m ii,HGN
f492,l94,p4,mi'ʔin,m i ʔ i n,HGN
